scenario,variant,iter,keygen_cycles,decaps_cycles,keygen_us,decaps_us,handshake_us,net_latency_us,jitter_us,energy_uj,reconnect_us,reconnect_energy_uj,rssi_dbm,packet_loss,ss_dec_hex,pub_bytes,ct_bytes,overhead_bytes,heap_free,heap_min,stack_hwm_bytes,cpu_util_percent
s1,ML-KEM-1024,0,3378329,4298069,21116,26867,129130,79974,0,75743,0,0,-22,0,df164e93fb393427478e9c7472a37b8181d3b4c5df7c6096b65d136c2a540073,1572,1572,58,220488,215272,10852,37.16
s1,ML-KEM-1024,1,3231748,4198017,20200,26241,75042,28508,51466,46091,0,0,-22,0,ba791848206498157b1c27d0dbe7ae7e0bc8bb5686f2fefc702c6b49ae9874c7,1572,1572,58,220268,215060,10852,61.89
s1,ML-KEM-1024,2,3233842,4111703,20212,25700,70346,21716,6792,43245,0,0,-22,0,4f31671721c9056181b8611359e99aef03ca2c823db7c530485c8d51d6f0b579,1572,1572,58,220268,215060,10852,65.27
s1,ML-KEM-1024,3,3239116,4216427,20245,26356,68651,21959,243,43207,0,0,-22,0,2a94f5213384dea5656532d0a83dd7dcb68163951f52e2cfa3136abacbbce205,1572,1572,58,220268,215060,10852,67.88
s1,ML-KEM-1024,4,3237432,4219287,20235,26374,68222,21519,440,41534,0,0,-22,0,a1c28e297f598cfa000c82c03a1cff411c1963e18178fecbefeabd95ecfc7f3f,1572,1572,58,220268,215060,10852,68.32
s1,ML-KEM-1024,5,3248218,4347903,20302,27176,70388,21752,233,43782,0,0,-22,0,a9774b855adb913942c52a7e0d4a9c413e93140dc5cfa14deb9a995a5dd22544,1572,1572,58,220268,215060,10852,67.45
s1,ML-KEM-1024,6,3238792,4311551,20243,26950,68411,20050,1702,42470,0,0,-22,0,5cf0313b838e6d7b58ea7e45357eb9eb6fd9f7cfcc160003f7da4dfe6ae9ef87,1572,1572,58,220268,215060,10852,68.98
s1,ML-KEM-1024,7,3265396,4196010,20410,26228,71770,25040,4990,45433,0,0,-22,0,033b10cb083c0dec1a55afbf1642812a238e4d98f586db8fab90e58bcfb24ea1,1572,1572,58,220268,215060,10820,64.98
s1,ML-KEM-1024,8,3257706,4194305,20362,26216,72093,25421,381,44984,0,0,-22,0,9f6577098a61ca1f614397e5912288152513cfcddeaae70e4f88697a94bdf75c,1572,1572,58,220268,215060,10820,64.61
s1,ML-KEM-1024,9,3233706,4099077,20211,25621,73361,24772,649,45103,0,0,-22,0,e61e5649ffd31290244e6aa6c3d824e6efa777a11a102c96d76e9c458f9bebe3,1572,1572,58,220268,215060,10820,62.47
