scenario,variant,iter,op,cycles,time_us,energy_uj,heap_free,heap_min,stack_hwm_bytes
s2,ML-KEM-512,0,keygen,1202627,7519,1831,348192,346636,22412
s2,ML-KEM-512,0,encaps,1431653,8952,2514,348192,346636,22412
s2,ML-KEM-512,0,decaps,1724136,10776,3057,348192,346636,22380
s2,ML-KEM-512,1,keygen,1211509,7573,1896,348192,346636,22380
s2,ML-KEM-512,1,encaps,1429854,8941,2479,348192,346636,22380
s2,ML-KEM-512,1,decaps,1728254,10802,3207,348192,346636,22380
s2,ML-KEM-512,2,keygen,1211795,7576,2028,348192,346636,22380
s2,ML-KEM-512,2,encaps,1427501,8926,2407,348192,346636,22380
s2,ML-KEM-512,2,decaps,1721468,10760,2589,348192,346636,22380
s2,ML-KEM-512,3,keygen,1212871,7582,2056,348192,346636,22380
s2,ML-KEM-512,3,encaps,1426951,8923,2440,348192,346636,22380
s2,ML-KEM-512,3,decaps,1729548,10810,3126,348192,346636,22380
s2,ML-KEM-512,4,keygen,1207789,7550,1853,348192,346636,22380
s2,ML-KEM-512,4,encaps,1428432,8931,2412,348192,346636,22380
s2,ML-KEM-512,4,decaps,1727910,10801,3189,348192,346636,22380
s2,ML-KEM-512,5,keygen,1210634,7569,1877,348192,346636,22380
s2,ML-KEM-512,5,encaps,1426998,8922,2622,348192,346636,22380
s2,ML-KEM-512,5,decaps,1726056,10789,2667,348192,346636,22380
s2,ML-KEM-512,6,keygen,1214207,7591,1965,348192,346636,22380
s2,ML-KEM-512,6,encaps,1428493,8932,2460,348192,346636,22380
s2,ML-KEM-512,6,decaps,1720304,10753,3057,348192,346636,22380
s2,ML-KEM-512,7,keygen,1209209,7560,1904,348192,346636,22380
s2,ML-KEM-512,7,encaps,1426644,8921,2291,348192,346636,22380
s2,ML-KEM-512,7,decaps,1725286,10784,3287,348192,346636,22380
s2,ML-KEM-512,8,keygen,1211875,7576,1974,348192,346636,22380
s2,ML-KEM-512,8,encaps,1426709,8921,2419,348192,346636,22380
s2,ML-KEM-512,8,decaps,1722232,10765,2713,348192,346636,22380
s2,ML-KEM-512,9,keygen,1213103,7584,1981,348192,346636,22380
s2,ML-KEM-512,9,encaps,1425571,8914,2536,348192,346636,22380
s2,ML-KEM-512,9,decaps,1727734,10799,3136,348192,346636,22380
s2,ML-KEM-512,10,keygen,1207439,7549,1807,348192,346636,22380
s2,ML-KEM-512,10,encaps,1429503,8938,2511,348192,346636,22380
s2,ML-KEM-512,10,decaps,1726133,10789,3179,348192,346636,22380
s2,ML-KEM-512,11,keygen,1209815,7563,1894,348192,346636,22380
s2,ML-KEM-512,11,encaps,1429820,8940,2665,348192,346636,22380
s2,ML-KEM-512,11,decaps,1726408,10792,3261,348192,346636,22348
s2,ML-KEM-512,12,keygen,1211591,7574,1972,348192,346636,22348
s2,ML-KEM-512,12,encaps,1427973,8929,2505,348192,346636,22348
s2,ML-KEM-512,12,decaps,1720634,10755,2710,348192,346636,22348
s2,ML-KEM-512,13,keygen,1212561,7581,2073,348192,346636,22348
