scenario,variant,iter,op,cycles,time_us,energy_uj,heap_free,heap_min,stack_hwm_bytes
s2,ML-KEM-768,0,keygen,1986141,12415,3136,346688,346476,17436
s2,ML-KEM-768,0,encaps,2355292,14722,4414,346688,346476,17436
s2,ML-KEM-768,0,decaps,2774067,17339,4832,346688,346476,17436
s2,ML-KEM-768,1,keygen,1991799,12451,3581,346688,346476,17436
s2,ML-KEM-768,1,encaps,2347053,14671,4242,346688,346476,17436
s2,ML-KEM-768,1,decaps,2775982,17351,4971,346688,346476,17436
s2,ML-KEM-768,2,keygen,1989675,12438,3430,346688,346476,17436
s2,ML-KEM-768,2,encaps,2350941,14695,4391,346688,346476,17436
s2,ML-KEM-768,2,decaps,2771670,17324,4767,346688,346476,17436
s2,ML-KEM-768,3,keygen,1993099,12459,3581,346688,346476,17436
s2,ML-KEM-768,3,encaps,2347729,14675,4183,346688,346476,17436
s2,ML-KEM-768,3,decaps,2777208,17359,4932,346688,346476,17436
s2,ML-KEM-768,4,keygen,1989505,12436,3478,346688,346476,17436
s2,ML-KEM-768,4,encaps,2351316,14698,4343,346688,346476,17436
s2,ML-KEM-768,4,decaps,2771296,17321,4732,346688,346476,17436
s2,ML-KEM-768,5,keygen,1990795,12444,3608,346688,346476,17436
s2,ML-KEM-768,5,encaps,2346011,14664,4178,346688,346476,17436
s2,ML-KEM-768,5,decaps,2777242,17359,4850,346688,346476,17436
s2,ML-KEM-768,6,keygen,1990435,12442,3465,346688,346476,17436
s2,ML-KEM-768,6,encaps,2350733,14693,4219,346688,346476,17436
s2,ML-KEM-768,6,decaps,2775112,17345,4929,346688,346476,17436
s2,ML-KEM-768,7,keygen,1992993,12459,3635,346688,346476,17436
s2,ML-KEM-768,7,encaps,2346730,14669,4156,346688,346476,17436
s2,ML-KEM-768,7,decaps,2776032,17351,4854,346688,346476,17436
s2,ML-KEM-768,8,keygen,1990647,12444,3571,346688,346476,17436
s2,ML-KEM-768,8,encaps,2351217,14697,4279,346688,346476,17436
s2,ML-KEM-768,8,decaps,2775324,17347,5010,346688,346476,17436
s2,ML-KEM-768,9,keygen,1993487,12461,3719,346688,346476,17436
s2,ML-KEM-768,9,encaps,2346114,14665,4162,346688,346476,17436
s2,ML-KEM-768,9,decaps,2775196,17346,4887,346688,346476,17436
s2,ML-KEM-768,10,keygen,1993602,12462,3276,346688,346476,17436
s2,ML-KEM-768,10,encaps,2350289,14691,4404,346688,346476,17436
s2,ML-KEM-768,10,decaps,2771238,17321,4773,346688,346476,17436
s2,ML-KEM-768,11,keygen,1991605,12450,3753,346688,346476,17436
s2,ML-KEM-768,11,encaps,2347365,14673,4256,346688,346476,17436
s2,ML-KEM-768,11,decaps,2776774,17355,4883,346688,346476,17436
s2,ML-KEM-768,12,keygen,1991223,12448,3633,346688,346476,17436
s2,ML-KEM-768,12,encaps,2350601,14693,4321,346688,346476,17436
s2,ML-KEM-768,12,decaps,2773892,17338,5047,346688,346476,17436
s2,ML-KEM-768,13,keygen,1991975,12452,3744,346688,346476,17436
s2,ML-KEM-768,13,encaps,2346688,14669,4241,346688,346476,17436
s2,ML-KEM-768,13,decaps,2775956,17351,4917,346688,346476,17436
s2,ML-KEM-768,14,keygen,1991397,12448,3279,346688,346476,17436
s2,ML-KEM-768,14,encaps,2350371,14692,4428,346688,346476,17436
s2,ML-KEM-768,14,decaps,2772454,17329,4839,346688,346476,17436
s2,ML-KEM-768,15,keygen,1990869,12445,3769,346688,346476,17436
