scenario,variant,iter,keygen_cycles,decaps_cycles,keygen_us,decaps_us,handshake_us,net_latency_us,jitter_us,energy_uj,reconnect_us,reconnect_energy_uj,rssi_dbm,packet_loss,ss_dec_hex,pub_bytes,ct_bytes,overhead_bytes,heap_free,heap_min,stack_hwm_bytes,cpu_util_percent,encaps_us,ss_enc_hex,ss_valid
s1,ML-KEM-1024,0,3330090,3869178,20815,24184,120965,73155,0,71284,0,0,-21,0,55a4983dc48f9028c3a930a693f7751a18af2c80c08aa1127c03e4ada987c832,1572,1572,58,220480,215296,10820,37.20,2787,55a4983dc48f9028c3a930a693f7751a18af2c80c08aa1127c03e4ada987c832,1
s1,ML-KEM-1024,1,2937893,3982629,18363,24892,66014,22665,50490,41282,0,0,-21,0,e8516c364a54c8d4897996b7f151f91cbf519b34c318e9d43d68dc3c233a17de,1572,1572,58,220264,215272,10804,65.52,582,e8516c364a54c8d4897996b7f151f91cbf519b34c318e9d43d68dc3c233a17de,1
s1,ML-KEM-1024,2,3109004,3861023,19433,24132,69987,23568,903,43685,0,0,-21,0,d6b0c364b8e7571b60cb54dd714d555b9e1b4f58fef5dc9f4004156fd780a8ea,1572,1572,58,220264,215048,10804,62.25,1390,d6b0c364b8e7571b60cb54dd714d555b9e1b4f58fef5dc9f4004156fd780a8ea,1
s1,ML-KEM-1024,3,3100946,4019209,19382,25121,68308,23711,143,41937,0,0,-21,0,6b47fee4a029e1d3ba63012e081aa319977e5df4cbf655373aa39bd11e6337ae,1572,1572,58,220276,215048,10804,65.15,487,6b47fee4a029e1d3ba63012e081aa319977e5df4cbf655373aa39bd11e6337ae,1
s1,ML-KEM-1024,4,3096788,3863512,19357,24148,65929,19534,4177,41303,0,0,-21,0,85210b9e4e081169bce1dd940d9ce593280c02512601d41d3c1fadb59900caff,1572,1572,58,220276,215048,10804,65.99,496,85210b9e4e081169bce1dd940d9ce593280c02512601d41d3c1fadb59900caff,1
s1,ML-KEM-1024,5,3103582,4105734,19400,25662,69668,23517,3983,42562,0,0,-21,0,eef14ff0ff5462fa5a1a820f93a6af2d051cfcb0889c4d7b641a024e6a59da07,1572,1572,58,220276,215048,10804,64.68,1763,eef14ff0ff5462fa5a1a820f93a6af2d051cfcb0889c4d7b641a024e6a59da07,1
s1,ML-KEM-1024,6,3118052,3983871,19491,24900,66289,21805,1712,40957,0,0,-21,0,1a8fde44d90c92d417688dba47942702fbf2285b553e97610e1295db1c875c9a,1572,1572,58,220276,215048,10804,66.97,525,1a8fde44d90c92d417688dba47942702fbf2285b553e97610e1295db1c875c9a,1
s1,ML-KEM-1024,7,3108360,3877587,19429,24236,70072,23598,1793,43709,0,0,-21,0,e3382284742c6e1e44f1a7910a72d1677c020c7c22726ad5c262ef11d01b4c84,1572,1572,58,220276,215048,10804,62.31,2267,e3382284742c6e1e44f1a7910a72d1677c020c7c22726ad5c262ef11d01b4c84,1
s1,ML-KEM-1024,8,3105490,3909227,19412,24434,70864,24285,687,45158,0,0,-21,0,20a39e858743fe511df99c5f81ae148e8287be7c2ddcb08cbd0c485ca32bf481,1572,1572,58,220276,215048,10804,61.87,2041,20a39e858743fe511df99c5f81ae148e8287be7c2ddcb08cbd0c485ca32bf481,1
s1,ML-KEM-1024,9,3151370,3861123,19698,24133,72992,26250,1965,46442,0,0,-21,0,ae146cfc98ce357ff92412b18820b981fc19c7a4170a272105a187a705bb56ae,1572,1572,58,220276,215048,10804,60.05,4141,ae146cfc98ce357ff92412b18820b981fc19c7a4170a272105a187a705bb56ae,1
s1,ML-KEM-1024,10,3136948,3993047,19608,24958,78900,34241,7991,49116,0,0,-21,0,ea755d1c66311a0b5cfcfc989396b5ba828d3512f43377ae8a8b4a05c2138ed1,1572,1572,58,220276,215048,10804,56.48,1469,ea755d1c66311a0b5cfcfc989396b5ba828d3512f43377ae8a8b4a05c2138ed1,1
s1,ML-KEM-1024,11,3105262,3872590,19410,24204,69972,23692,10549,44032,0,0,-21,0,148fb36caf98dfdc40113e6700b1058b07d0cffb1eb495d86476d4bab13429a0,1572,1572,58,220276,215048,10804,62.33,2188,148fb36caf98dfdc40113e6700b1058b07d0cffb1eb495d86476d4bab13429a0,1
s1,ML-KEM-1024,12,3130022,3930210,19564,24565,70650,23669,23,43525,0,0,-21,0,d716a41693ca875085c53ece41fd986b14ba80cdb88648b46247b903f4fb9269,1572,1572,58,220276,215048,10804,62.46,2047,d716a41693ca875085c53ece41fd986b14ba80cdb88648b46247b903f4fb9269,1
s1,ML-KEM-1024,13,3096860,3955027,19357,24720,73218,27939,4270,44373,0,0,-21,0,dc0c93102471a0c79d915fb400e97ad3cabc6ca3be95a8cd45e24f91844c1c22,1572,1572,58,220276,215048,10804,60.20,2056,dc0c93102471a0c79d915fb400e97ad3cabc6ca3be95a8cd45e24f91844c1c22,1
s1,ML-KEM-1024,14,3179365,3980203,19873,24878,74720,29874,1935,46057,0,0,-22,0,bf187763f0a6c5b065677c5e99cc874cdb04bbfcc0190d751e0d1b66309cd0af,1572,1572,58,220276,215048,10804,59.89,836,bf187763f0a6c5b065677c5e99cc874cdb04bbfcc0190d751e0d1b66309cd0af,1
s1,ML-KEM-1024,15,3129393,3883204,19561,24271,71064,24447,5427,44669,0,0,-22,0,c688e7a0b4e2f098981bd74feba0db2e36f761d98a6a6a287c045f804fb60107,1572,1572,58,220276,215048,10804,61.68,1026,c688e7a0b4e2f098981bd74feba0db2e36f761d98a6a6a287c045f804fb60107,1
