scenario,variant,iter,keygen_cycles,decaps_cycles,keygen_us,decaps_us,handshake_us,net_latency_us,jitter_us,energy_uj,reconnect_us,reconnect_energy_uj,rssi_dbm,packet_loss,ss_dec_hex,pub_bytes,ct_bytes,overhead_bytes,heap_free,heap_min,stack_hwm_bytes,cpu_util_percent,encaps_us,ss_enc_hex,ss_valid
s1,ML-KEM-768,0,2319050,2952195,14496,18452,96216,63176,0,56979,0,0,-21,0,488eafae2a45c58811804ba6b958d49230b8dc92a8e8564fe284334bab735480,1188,1092,58,222996,218204,16964,34.24,1759,488eafae2a45c58811804ba6b958d49230b8dc92a8e8564fe284334bab735480,1
s1,ML-KEM-768,1,2042919,2835904,12770,17725,68073,35066,28110,41517,0,0,-21,0,f67a343fda37a2f5ce2742d0a565c96d43b6cee6bfb2254affb190667322082d,1188,1092,58,222780,217940,16964,44.80,3539,f67a343fda37a2f5ce2742d0a565c96d43b6cee6bfb2254affb190667322082d,1
s1,ML-KEM-768,2,2027086,2838682,12671,17742,63900,31053,4013,39163,0,0,-21,0,efe3ef878a1f2e177bb986303033458ae55645e3745f9362549150afc8bb8448,1188,1092,58,222780,217940,16964,47.59,427,efe3ef878a1f2e177bb986303033458ae55645e3745f9362549150afc8bb8448,1
s1,ML-KEM-768,3,2024920,2836062,12657,17726,56695,23804,7249,35519,0,0,-21,0,82524af42b6397a8906537c2908ff2b01930b07371168decc1d7dcc52d7e1b2d,1188,1092,58,222780,217940,16964,53.59,520,82524af42b6397a8906537c2908ff2b01930b07371168decc1d7dcc52d7e1b2d,1
s1,ML-KEM-768,4,2022539,2955435,12643,18473,56858,25654,1850,36252,0,0,-21,0,c1c13d642632a06505b1c44d76463f43b1b8434c0dded5a08f647ac6b8e27019,1188,1092,58,222780,217940,16964,54.73,705,c1c13d642632a06505b1c44d76463f43b1b8434c0dded5a08f647ac6b8e27019,1
s1,ML-KEM-768,5,2050566,2952125,12817,18452,59656,28299,2645,36590,0,0,-21,0,5e36bcdf5f8cacd548895a1d2110b7497b4870448671cf12baeb3ec2d7dbeca6,1188,1092,58,222780,217940,16932,52.42,991,5e36bcdf5f8cacd548895a1d2110b7497b4870448671cf12baeb3ec2d7dbeca6,1
s1,ML-KEM-768,6,2022692,2854898,12644,17844,62192,29287,988,38964,0,0,-21,0,410001a84655ef342e8f20e3875f98df252e03dbe53cc944beeb502fe74da7c9,1188,1092,58,222780,217940,16932,49.02,1198,410001a84655ef342e8f20e3875f98df252e03dbe53cc944beeb502fe74da7c9,1
s1,ML-KEM-768,7,2120014,2946069,13252,18414,59280,27525,1762,36311,0,0,-21,0,3084c966536771374cacf691bf295423d725964adecad476a2bd0bb927c64d3d,1188,1092,58,222780,217940,16932,53.42,1207,3084c966536771374cacf691bf295423d725964adecad476a2bd0bb927c64d3d,1
s1,ML-KEM-768,8,2063003,2971147,12896,18571,57992,26433,1092,37034,0,0,-21,0,215d6a59d2e285d256c125460b39c9c8c00f9ed77573b3aac8d9a284ee58f055,1188,1092,58,222780,217940,16932,54.26,1489,215d6a59d2e285d256c125460b39c9c8c00f9ed77573b3aac8d9a284ee58f055,1
s1,ML-KEM-768,9,2042998,2830654,12771,17692,62868,29826,3393,38427,0,0,-21,0,03aafdb0cb1468108b7a25e6c8fd06cd31686127a4a5cd8841ac9555ba5c0597,1188,1092,58,222780,217940,16932,48.46,1975,03aafdb0cb1468108b7a25e6c8fd06cd31686127a4a5cd8841ac9555ba5c0597,1
s1,ML-KEM-768,10,2067030,2976841,12921,18607,62687,31071,1245,38726,0,0,-21,0,695a091841d546914b6ce27a8c2cbda7454818a248e738b1b8ffc765d8c8580a,1188,1092,58,222780,217940,16932,50.29,1735,695a091841d546914b6ce27a8c2cbda7454818a248e738b1b8ffc765d8c8580a,1
s1,ML-KEM-768,11,2021930,2828924,12639,17681,66427,33530,2459,41028,0,0,-21,0,498292ec684aaf853e9b17b4a18aa58cc00769ec9c9260f9cbaee8b63b191d5d,1188,1092,58,222780,217940,16932,45.64,1403,498292ec684aaf853e9b17b4a18aa58cc00769ec9c9260f9cbaee8b63b191d5d,1
s1,ML-KEM-768,12,2026496,2970850,12668,18569,91180,57448,23918,55262,0,0,-21,0,51b87ad85cbb0bfdb60499fb986811ac70aa2f811d1c8c9d5a6719b1ad9f8e92,1188,1092,58,222780,217940,16932,34.26,2051,51b87ad85cbb0bfdb60499fb986811ac70aa2f811d1c8c9d5a6719b1ad9f8e92,1
s1,ML-KEM-768,13,2021578,2944287,12637,18403,54559,23430,34018,34526,0,0,-21,0,6171a41d60468dc60fc59775ca046f141ed0d85d934062fe177813dfdabc21fb,1188,1092,58,222780,217940,16932,56.89,771,6171a41d60468dc60fc59775ca046f141ed0d85d934062fe177813dfdabc21fb,1
s1,ML-KEM-768,14,2022798,2953603,12644,18461,58002,26808,3378,36124,0,0,-21,0,4fe12ec5aa85b3eaaf27a79a4091805ab7c17db13ece48883e924dee4f30d677,1188,1092,58,222780,217940,16932,53.63,344,4fe12ec5aa85b3eaaf27a79a4091805ab7c17db13ece48883e924dee4f30d677,1
s1,ML-KEM-768,15,2023320,2833849,12648,17712,58667,25731,1077,36242,0,0,-21,0,ca7e6f23900fcd59f29e0de26df498037799ecb6e5524bf9eef48200244da97c,1188,1092,58,222780,217940,16932,51.75,334,ca7e6f23900fcd59f29e0de26df498037799ecb6e5524bf9eef48200244da97c,1
s1,ML-KEM-768,16,2066554,2968379,12918,18554,56645,25084,647,35426,0,0,-21,0,73e8396c06a789fe91c5560d7453823b82d3d24860c3d2c4d9c6783d93db6396,1188,1092,58,222780,217940,16932,55.56,615,73e8396c06a789fe91c5560d7453823b82d3d24860c3d2c4d9c6783d93db6396,1
s1,ML-KEM-768,17,2022030,2976035,12640,18601,59949,28619,3535,38607,0,0,-21,0,372553399db86c6fd08d01335e5c45f61308ca05b1f2143473aa8ac8cc825e0c,1188,1092,58,222780,217940,16932,52.11,1071,372553399db86c6fd08d01335e5c45f61308ca05b1f2143473aa8ac8cc825e0c,1
