iter,variant,encaps_us,ss_enc_hex
0,1024,2319,df164e93fb393427478e9c7472a37b8181d3b4c5df7c6096b65d136c2a540073
1,1024,3307,ba791848206498157b1c27d0dbe7ae7e0bc8bb5686f2fefc702c6b49ae9874c7
2,1024,945,4f31671721c9056181b8611359e99aef03ca2c823db7c530485c8d51d6f0b579
3,1024,1021,2a94f5213384dea5656532d0a83dd7dcb68163951f52e2cfa3136abacbbce205
4,1024,492,a1c28e297f598cfa000c82c03a1cff411c1963e18178fecbefeabd95ecfc7f3f
5,1024,504,a9774b855adb913942c52a7e0d4a9c413e93140dc5cfa14deb9a995a5dd22544
6,1024,739,5cf0313b838e6d7b58ea7e45357eb9eb6fd9f7cfcc160003f7da4dfe6ae9ef87
7,1024,1793,033b10cb083c0dec1a55afbf1642812a238e4d98f586db8fab90e58bcfb24ea1
8,1024,2064,9f6577098a61ca1f614397e5912288152513cfcddeaae70e4f88697a94bdf75c
9,1024,2034,e61e5649ffd31290244e6aa6c3d824e6efa777a11a102c96d76e9c458f9bebe3
10,1024,2054,fe9c36630f7345ea68c993d0f43ca30fc85b9fd1a1de77f6a490afa084ffd73d
11,1024,2047,93abc4f5a2422a6b16091e97071fd42de567d69beab8c2ea5446b99a8bfb0c8d
12,1024,2124,184d761f8bfd322e8dac5f15373150d142363e1c6612f7a56293ec8ebd9b60d9
13,1024,2021,c3ac7d553d1094c78d65a92c96729d94daaa55dc60ca8c87c34ff165659afd99
14,1024,2543,69ee94b4296d06bfc8891cefe728c999e117d7a0d3fe8b32b8dd62b7fba744ad
15,1024,2067,df2a23081ca960cb932211e33e2f451c55378121e153ed83c5f12b6e41c89e40
16,1024,2059,825fe891a095ee3d7f62aaca6fb3a786125c43392d12efc18ebec6d475da1345
17,1024,1332,8b1e8904abdd2ec5560988f0b02bb9ea978f16e562cbc396a4e06dcc7bb30d52
18,1024,1514,520f484e4042f5e8d8c1216551fd37e6083d047f929a8e44581066f6ad2ed735
19,1024,549,8dd2811a95aff4b9831175dc078d74e40bf3eeb984e9e96bcf047d4a0a77e43e
20,1024,2044,99e7a753cc46250b08256c3c4a6319d4534f6f0777e0ab814a4cb0ceb93002db
21,1024,2076,c8d678b02e4e1af863c522e1513ae4957866af95f7b8e172e7391c3670ed6fe2
22,1024,677,d28613fc2a9ebefea8ca15c99c8509261892e8cc2063a40932e4570d84ffae1a
23,1024,1278,547a5d788a88cec9cb61c7131db899643a66796a2052aae88ed01baa67207f5c
24,1024,538,d08a47934a160c87cf714a5491ac95520dbbb8d6c6c212a4410d1d696479fe9f
25,1024,2056,b0449c3ddfd3466a2615b08728eafc820a86f9619fc3ce9503865c6def004eeb
26,1024,2112,8e0fa75008a9f64012d110008c9366bbe5103869563acf276c4329c4c2899d66
27,1024,2544,4b6fb567afba9d93d2267507a89c7bbe6f82eca4b8a29ebaf024645a49cbbd6d
28,1024,1502,54783fb7df482b3a44245e1a225cabeaf57c38c2f108a3fe50aed6aeeab46f97
29,1024,2633,8655312fbdb8bb13bf75b8a4079e832e736fedb0e7edc4007a84821c96243ceb
30,1024,2027,14f0ce09968d6a5c97873c6a7e6bbf1b793d09ee812c4d64143815979ffe9f91
31,1024,2286,06335b8aad814cf9a680e09ff7299f3ee4e3f1984afa04e5cd5b477d5d3f4671
32,1024,1033,f4bc106b56c35839c6d3aa203c0ca435f7b64afb74a336fae5c4d18263c70089
33,1024,2048,ae5c569dd0f37fb520d93cb7010005eb59d2282a4ea14196fcd487006f380ed8
34,1024,3230,03f9d5f0787e7284d4e20114fabb5d1eac401aa8e2ed468bcad96f61ce599c97
35,1024,2040,a189c454fa088fc34c8db50c71d4fffbdbf478d6e520c2a35a53053022851460
36,1024,2043,afa8ea6fd3541f65452a5bc0db9317f2e3a955f853019fc438faf4bbebdc2a53
37,1024,1701,06a077ab07fcb8fc43b9631d4532a2537b167f9e021675fd3ae4551738c3c855
38,1024,2062,b4535942d5252b68371a348a7c103a75a6a0f29aac6babce4d7435b2730c6ef1
39,1024,492,40bc0019a4dd5b4c0a3293526d80ab5866755d26c26cb8dd9c70d24f7179b155
40,1024,2071,307df3175911b69d4b6658de61b01b4d7f8b4d87a4a1b0b2eb58a1f57d6274a0
41,1024,1649,b69b6e81650034a98428bcc52e0a56ff472b9e82006ab497199c0a4b6894b21e
