scenario,variant,iter,keygen_cycles,decaps_cycles,keygen_us,decaps_us,handshake_us,net_latency_us,jitter_us,energy_uj,reconnect_us,reconnect_energy_uj,rssi_dbm,packet_loss,ss_dec_hex,pub_bytes,ct_bytes,overhead_bytes,heap_free,heap_min,stack_hwm_bytes,cpu_util_percent
s1,ML-KEM-1024,0,3481333,3861593,21760,24136,135232,86510,0,84061,0,0,-20,0,fcbd5d80f895a5a67429dfad8e8ccfea7dca999f8a888058996d074c9964e371,1572,1572,58,220476,215480,10836,33.94
s1,ML-KEM-1024,1,2938553,3869995,18368,24189,71698,26267,60243,45601,0,0,-20,0,39beaf87fe02d0668d2fc4ec7a834eb0bab3df4116ea677d71f413f53f156ac5,1572,1572,58,220260,215124,10836,59.36
s1,ML-KEM-1024,2,3128150,3955500,19553,24724,71047,24180,2087,46177,0,0,-20,0,8901a56b2f373c63f3ea9a43de134f81cc0f51ca4a16280f49620b95bc2dcbe7,1572,1572,58,220260,215124,10836,62.32
s1,ML-KEM-1024,3,3073422,3883333,19212,24271,71369,25296,1116,45378,0,0,-20,0,5ed33a4b8e5e0ce0600a9a34e6907e516811e0281e2fcc4ba292252986e7cb84,1572,1572,58,220260,215124,10836,60.93
s1,ML-KEM-1024,4,3093468,3868250,19336,24177,71210,24977,319,45486,0,0,-20,0,278b5918f22053210c5b7e2fd6eea47354df14957986ba37f1b7829e5ef48bbb,1572,1572,58,220260,215124,10836,61.11
s1,ML-KEM-1024,5,3094023,3889668,19340,24311,71836,25308,331,46958,0,0,-20,0,2be48e999a841325fbab01ff47ae326961b721f46b1a92eb25e218a44bfda248,1572,1572,58,220260,215124,10836,60.76
s1,ML-KEM-1024,6,3120228,3870524,19504,24192,69137,22729,2579,44776,0,0,-20,0,44e6c167237d3bd3839fb292ad9bbe2824b6a9aefd5f5e0e5b3131e263c31da7,1572,1572,58,220260,215040,10836,63.20
s1,ML-KEM-1024,7,3115306,4079708,19472,25499,70298,25225,2496,44915,0,0,-20,0,fdc258fa4cc03dd1469c34007c6248575076ad2dc26b9ab0d6cbf6e9a77d738d,1572,1572,58,220260,215040,10836,63.97
s1,ML-KEM-1024,8,3116145,3891925,19478,24326,69415,22731,2494,45589,0,0,-20,0,5b66be491219d75784284b3da2ecf0e1b3aea1dcba09ed0821630b483aa98043,1572,1572,58,220260,215040,10836,63.10
s1,ML-KEM-1024,9,3096638,3905518,19355,24411,66173,19676,3055,43400,0,0,-20,0,75008a9ed10dbc4a01c36a50a28b61637d99b56602604323703d61753cfe2cb9,1572,1572,58,220260,215040,10836,66.14
s1,ML-KEM-1024,10,3118744,3867527,19494,24173,72826,26293,6617,47187,0,0,-20,0,ba8262580037cf98f27769ba36b0c2424d74674ef733686d36bdbc7aa5946611,1572,1572,58,220260,215040,10836,59.96
s1,ML-KEM-1024,11,3095347,3885358,19348,24285,73434,26984,691,47073,0,0,-20,0,c2608a55ed14ba937dad870c8c35ded95f6fe0f7e1bd2a3bbfd3c64a1749a149,1572,1572,58,220260,215040,10804,59.42
s1,ML-KEM-1024,12,3108462,4123287,19431,25773,68518,23213,3771,45321,0,0,-21,0,b9d771b191c694bcb49c6fcf304351229d15b86ef9cc758719c5f0b2680a7559,1572,1572,58,220260,215040,10804,65.97
s1,ML-KEM-1024,13,3126353,3983501,19542,24897,65922,21224,1989,42609,0,0,-21,0,b18eb949e3a6c5fbecf3bbd78eafc76ccc062f729aa42a23134b763e0a6a7239,1572,1572,58,220260,215040,10804,67.41
s1,ML-KEM-1024,14,3126676,3860184,19543,24127,69959,23383,2159,45208,0,0,-21,0,ed197c2e3636a482f4f687ee1dce3df126ec69978925e684cc5be947294581bb,1572,1572,58,220260,215040,10804,62.42
s1,ML-KEM-1024,15,3118512,3892490,19492,24329,71517,24891,1508,46042,0,0,-21,0,4c2ccbd0ce8182b3c643e3c7e4320ea69f834305025fc8017dd28ec739e164e1,1572,1572,58,220260,215040,10804,61.27
s1,ML-KEM-1024,16,3095719,3892480,19351,24329,70509,24002,889,46145,0,0,-21,0,948a8078601982bedbc61e3c32d4efcfc7d47f229892ab6dba55fe69c4149cc4,1572,1572,58,220260,215040,10804,61.95
s1,ML-KEM-1024,17,3121282,3868552,19511,24180,72954,26395,2393,47651,0,0,-21,0,1df3eda8f4464d39415554c2aa70824c2ba6eed1f8ecf4429b4dd7bc3937adbd,1572,1572,58,220260,215040,10804,59.89
s1,ML-KEM-1024,18,3118894,3887055,19495,24295,76412,29847,3452,49999,0,0,-21,0,2eb12dac3d486302d15b5214ca402b8cfe1cd1a1c8a7d5cdbc36c6e76fb2ab19,1572,1572,58,220260,215040,10804,57.31
s1,ML-KEM-1024,19,3118629,3929650,19494,24561,70132,23180,6667,45475,0,0,-21,0,516cd715fe42053ea1d1fdd9c97524d9127f202ea4e827bd63cc566cd52b0807,1572,1572,58,220260,215040,10804,62.82
s1,ML-KEM-1024,20,3097823,3871177,19364,24196,70064,23690,510,45456,0,0,-21,0,6de6f5c7dfc7865d8566d7f4d87d132754a90eba7097b8db7f0aa68035a1ae9d,1572,1572,58,220260,215040,10804,62.17
s1,ML-KEM-1024,21,3115321,3876321,19473,24228,72849,26401,2711,46946,0,0,-21,0,30289f2d9d91e84b0a947e98db5a388d211dde48c0c0c4f1ad44a8e767117007,1572,1572,58,220260,215040,10804,59.99
s1,ML-KEM-1024,22,3109560,3880549,19438,24255,77760,31374,4973,50896,0,0,-21,0,34f20afba9403d3b9a333967f2c87ae8e35a8df797b5b3c6ec7b887445c560f1,1572,1572,58,220260,215040,10804,56.19
s1,ML-KEM-1024,23,3122992,3901262,19521,24384,68338,21581,9793,44651,0,0,-21,0,75106dbeb9bd7fab6f159ec2d0bee98bba4e8f2d3836f87b864930a5c747a814,1572,1572,58,220260,215040,10804,64.25
s1,ML-KEM-1024,24,3120622,3866470,19507,24166,70129,23851,2270,45672,0,0,-21,0,d47c75513dacf6ab090647ffc1c8d0e3addd6f12c178e506fcea14e7f04923ac,1572,1572,58,220260,215040,10804,62.28
s1,ML-KEM-1024,25,3115412,3990345,19473,24941,69837,25330,1479,45158,0,0,-21,0,04d6d3cecba5cc466fbcb30e42986c8d1d7c318a9bc3e8212a9038e2cdab113f,1572,1572,58,220260,215040,10804,63.60
s1,ML-KEM-1024,26,3114080,3865852,19465,24162,69138,22639,2691,44865,0,0,-21,0,6ce3d98ead532399f207af3cce71cf0dfd747357da8fdf0567b9f6457bb191c0,1572,1572,58,220260,215040,10804,63.10
s1,ML-KEM-1024,27,3113458,3887401,19462,24298,69547,22966,327,45194,0,0,-21,0,97eb86bf8e334811d7dd744810c9aa1a88b45fe92075d60eeef58f4eec468c94,1572,1572,58,220260,215040,10804,62.92
s1,ML-KEM-1024,28,3097321,3989711,19360,24936,72955,28569,5603,48666,0,0,-20,0,e9997b84e0bd2b4629d0fef84370bb8846f1e2182400616eece265e867c992b9,1572,1572,58,220260,215040,10804,60.72
s1,ML-KEM-1024,29,3111635,4010791,19450,25068,67969,23363,5206,45115,0,0,-20,0,23a7608a6d143d0f1762fb167e637d952dec57f15f7614af5c81d3294a7f2da2,1572,1572,58,220260,215040,10804,65.50
s1,ML-KEM-1024,30,3092360,4025803,19329,25163,68780,24201,838,44010,0,0,-20,0,9f14e82069945af7ec9f1d0020a107f17508f2cc0eb8317544069e4d59dda836,1572,1572,58,220260,215040,10804,64.69
s1,ML-KEM-1024,31,3136318,3886708,19604,24292,72341,25605,1404,46846,0,0,-20,0,130ccdec6765bf16849c60ff7cf448f181945238e27ac71249ffd6721ae7046f,1572,1572,58,220260,215040,10804,60.68
s1,ML-KEM-1024,32,3134526,3867338,19593,24172,72016,25509,96,47018,0,0,-20,0,f60b48c9d4551cc949f856f06484f9481b37dc5a89937d9f7544fdfda94a107f,1572,1572,58,220260,215040,10804,60.77
s1,ML-KEM-1024,33,3095372,3981043,19348,24883,66109,21785,3724,42437,0,0,-20,0,35a76949b5d3582faeb14545579accce54197a49a4060451a997d894f9147e79,1572,1572,58,220264,215040,10804,66.91
s1,ML-KEM-1024,34,3115768,3890503,19476,24317,71545,24918,3133,45110,0,0,-20,0,7fcb14c06dc93e02b1fa977d7396328d283644b2cac9b8a9d089ade49c0c78f8,1572,1572,58,220264,215040,10804,61.21
s1,ML-KEM-1024,35,3134484,3914797,19592,24468,74041,27162,2244,47974,0,0,-20,0,0769fc94835faf97ac1867700c4db3152170714aedba4fd131775c66d6480344,1572,1572,58,220264,215040,10804,59.51
s1,ML-KEM-1024,36,3133736,3869315,19589,24184,85676,39129,11967,54108,0,0,-20,0,58e543957199799b8845df33c846b55a32b014496e0bd11ea7cda634e49f991a,1572,1572,58,220260,215040,10804,51.09
s1,ML-KEM-1024,37,3096019,3992272,19352,24952,71041,26628,12501,46003,0,0,-20,0,b19936d02a565b37c512a57c3ecbe971369e8caa823aa65f725bfdf42b2a4262,1572,1572,58,220260,215040,10804,62.36
s1,ML-KEM-1024,38,3073137,3902296,19211,24391,72681,26283,345,46841,0,0,-20,0,a416e2e47c60e40b842ad6bceed66553c4c8352057ce4574b189c128d224ee79,1572,1572,58,220260,215040,10804,59.99
s1,ML-KEM-1024,39,3124051,3896288,19527,24353,70373,23814,2469,46426,0,0,-20,0,2ee004b1f0e7fc1289ab93485ca62c92fa3fcba0af43599667b558e1cc15adb5,1572,1572,58,220260,215040,10804,62.35
s1,ML-KEM-1024,40,3128488,3869758,19556,24187,70084,23476,338,45720,0,0,-20,0,347233e00d16e92758e5e1d3da1dadd9927608085c55a32fe8a4eb3bc42812c9,1572,1572,58,220260,215040,10804,62.42
s1,ML-KEM-1024,41,3095694,3987932,19350,24925,67354,22982,494,42959,0,0,-20,0,f11ccae91a1650ef450c020ec133e13ca7aa07bfd88501fc7134e07ad3672005,1572,1572,58,220260,215040,10804,65.73
s1,ML-KEM-1024,42,3109804,3862892,19438,24144,72022,25686,2704,46892,0,0,-20,0,87b6967162af1449f2e5d5b88e1afa05842843f7b7129d0e469a7c801ad36249,1572,1572,58,220260,215040,10804,60.51
s1,ML-KEM-1024,43,3194948,3992883,19970,24956,72588,27565,1879,47327,0,0,-20,0,19b6d2eaaee585d33a343a999db12011606338cc9969d4f09b1dda8ddbd7c19a,1572,1572,58,220260,215040,10804,61.89
s1,ML-KEM-1024,44,3104279,3989710,19404,24937,68049,23616,3949,44343,0,0,-20,0,f77f2ae39bad62461b1c70456e45e049eb50a0bcc41d2eaa9060f08304d43ac7,1572,1572,58,220260,215040,10804,65.16
