scenario,variant,iter,keygen_cycles,decaps_cycles,keygen_us,decaps_us,handshake_us,net_latency_us,jitter_us,energy_uj,reconnect_us,reconnect_energy_uj,rssi_dbm,packet_loss,ss_dec_hex,pub_bytes,ct_bytes,overhead_bytes,heap_free,heap_min,stack_hwm_bytes,cpu_util_percent,encaps_us,ss_enc_hex,ss_valid
s1,ML-KEM-1024,0,3253774,4025903,20339,25163,155329,109735,0,88456,0,0,-20,0,3f9a04c0c289ad31708676b7ba48eef44cb408db4b11bcaaacbe4fd19b8a614c,1572,1572,58,220496,215260,10804,29.29,3873,3f9a04c0c289ad31708676b7ba48eef44cb408db4b11bcaaacbe4fd19b8a614c,1
s1,ML-KEM-1024,1,2965962,3995037,18539,24972,164233,120628,10893,93775,0,0,-20,0,95e3ce447a7bc66e383efcd01233839306cee2adbe34797b2607d549b53015f1,1572,1572,58,220276,212088,10804,26.49,2243,95e3ce447a7bc66e383efcd01233839306cee2adbe34797b2607d549b53015f1,1
s1,ML-KEM-1024,2,2940396,3963002,18379,24770,168578,122879,2251,97067,0,0,-20,0,03e40a3608abebc0e98f10e989e2876703ff8865c55c7601661b385e708ad31f,1572,1572,58,220276,212088,10804,25.60,2429,03e40a3608abebc0e98f10e989e2876703ff8865c55c7601661b385e708ad31f,1
s1,ML-KEM-1024,3,2939192,3983807,18372,24900,160737,117367,5512,90974,0,0,-20,0,6c7603bf85de3840c6b8729b3ac48f4a2a0b8b8613c20376e424b0bd5ed287b8,1572,1572,58,220276,212080,10804,26.92,2048,6c7603bf85de3840c6b8729b3ac48f4a2a0b8b8613c20376e424b0bd5ed287b8,1
s1,ML-KEM-1024,4,3164483,3975381,19780,24847,136176,91456,25911,78777,0,0,-20,0,cde6fa782e680982a29c0a4530f93df597be3fa8ddb31dba59d3c43ec31f0ba7,1572,1572,58,220076,212080,10804,32.77,2388,cde6fa782e680982a29c0a4530f93df597be3fa8ddb31dba59d3c43ec31f0ba7,1
s1,ML-KEM-1024,5,2987490,4030087,18673,25189,116273,72313,19143,67203,0,0,-20,0,2963146d92116ce2ccc8d7c8078bbc7d68809546d3f5be9a965a6c3d58eee94b,1572,1572,58,220276,212080,10804,37.72,2061,2963146d92116ce2ccc8d7c8078bbc7d68809546d3f5be9a965a6c3d58eee94b,1
s1,ML-KEM-1024,6,2941990,4035675,18389,25224,167274,123565,51252,93794,0,0,-20,0,f50eb2d02f5a52189c3b7aa20ec0ec2931625bb6008369671d2dadbb234376f7,1572,1572,58,220276,212080,10804,26.07,2571,f50eb2d02f5a52189c3b7aa20ec0ec2931625bb6008369671d2dadbb234376f7,1
s1,ML-KEM-1024,7,2941495,4270067,18386,26688,114547,69375,54190,66919,0,0,-21,0,7bd8c1c363137950654f327f8a8d0d3e4bdada8b531c78efbaab794f14804e8d,1572,1572,58,220272,212080,10804,39.35,1708,7bd8c1c363137950654f327f8a8d0d3e4bdada8b531c78efbaab794f14804e8d,1
s1,ML-KEM-1024,8,2943300,4251045,18397,26570,84861,39796,29579,51608,0,0,-21,0,0a4f6fce796260b54892271aa1e772799acfb986a8d0932707288e2fa7ab92a2,1572,1572,58,220272,211988,10804,52.99,2055,0a4f6fce796260b54892271aa1e772799acfb986a8d0932707288e2fa7ab92a2,1
s1,ML-KEM-1024,9,2940547,3983485,18380,24898,182242,138866,99070,102622,0,0,-21,0,e636b6fc70c258a0533e3c34cffab97378036e93efe5477dd8934a657515ae48,1572,1572,58,220272,211932,10804,23.75,2037,e636b6fc70c258a0533e3c34cffab97378036e93efe5477dd8934a657515ae48,1
