scenario,variant,iter,keygen_cycles,decaps_cycles,keygen_us,decaps_us,handshake_us,net_latency_us,jitter_us,energy_uj,reconnect_us,reconnect_energy_uj,rssi_dbm,packet_loss,ss_dec_hex,pub_bytes,ct_bytes,overhead_bytes,heap_free,heap_min,stack_hwm_bytes,cpu_util_percent
s1,ML-KEM-512,0,1301860,1891996,8139,11826,44912,22424,0,31214,0,0,-21,0,a014a9f414c4855df1fbd6a9a8dabb02df243d487290dcb7dbb12c3e8d04a290,804,772,58,225220,222380,21892,44.45
s1,ML-KEM-512,1,1277590,1888570,7986,11805,63595,40959,18535,38943,0,0,-21,0,a0e081b3a39a566cf04402dd907b18fe225231c7c3b368b416b576a2aa0265b1,804,772,58,225004,220776,21892,31.12
s1,ML-KEM-512,2,1278562,1868414,7993,11679,56538,34254,6705,33459,0,0,-21,0,d934229397a88ea86618fd7631da81c6f92f51fb59185a8c5043f79a3fc6eadc,804,772,58,225004,220776,21892,34.79
s1,ML-KEM-512,3,1277222,1887949,7984,11801,54295,31606,2648,32948,0,0,-21,0,a8c856ef7853312c2b99e76c76f55dc46151a3cb3ef7a114ab625dcf937115ce,804,772,58,225004,220776,21892,36.44
s1,ML-KEM-512,4,1279936,1863510,8001,11648,56401,34267,2661,33647,0,0,-21,0,199a7b12160784128aa04532b8096b9fb2c0fd3e9d3c6eabc11afce362ab380a,804,772,58,225004,220600,21892,34.84
s1,ML-KEM-512,5,1277656,1863378,7987,11648,60730,38412,4145,36747,0,0,-21,0,03016698fe698bf60c01b6fb0daa90cfdd1bd9a7f3d844e6c43a7732ea7fd9f7,804,772,58,225004,220568,21892,32.33
s1,ML-KEM-512,6,1300980,1989353,8134,12434,53969,33310,5102,32284,0,0,-21,0,f361218a81fdf60b206b3ae94d7e0a64e5b1b306afb0be4f78103d9b4e7c1f21,804,772,58,225004,220568,21892,38.11
s1,ML-KEM-512,7,1275857,1881745,7976,11762,56205,33777,467,33452,0,0,-21,0,f8e81eda34a50bc2e7a9035519568efa95f156a0e85986949b5a86ca60fad176,804,772,58,225004,220548,21892,35.12
s1,ML-KEM-512,8,1337760,1997209,8366,12484,53385,32443,1334,31997,0,0,-21,0,392364e7f5fef4b4c3ea4291ba4fd5ecb3443027e4a962ff4cdc883fd00d0d5d,804,772,58,225004,220548,21860,39.06
s1,ML-KEM-512,9,1301052,1866143,8133,11665,60450,38028,5585,36176,0,0,-21,0,c4bc11a4b8aebe4b3728b5da895113ee95888c6d4a3723e4f93291d741bb41ca,804,772,58,225004,220548,21860,32.75
s1,ML-KEM-512,10,1275190,1868167,7972,11677,57481,35141,2887,34440,0,0,-21,0,2dfcb720565c5c11a7c8756b5bd1f87e734d5dbdf3e1dd42d8af2e5d9451aa39,804,772,58,225004,220548,21860,34.18
s1,ML-KEM-512,11,1278896,1864977,7995,11657,54351,32029,3112,32524,0,0,-21,0,b94c686f56f47f51ff73020c7f424b28c67fc029a63c826d7d9e44f77745ff45,804,772,58,225004,220548,21860,36.16
s1,ML-KEM-512,12,1279894,2015487,8001,12598,52990,32301,272,32069,0,0,-21,0,30320fb249845ee14aca3537dbb99f03c2c027b9012a899e8955f6a83c12931b,804,772,58,225004,220548,21860,38.87
s1,ML-KEM-512,13,1275548,1866369,7974,11666,61615,39283,6982,36471,0,0,-21,0,0b4eabc93a9d61c1760d52eee34209f27ca67aced31fc305af27770ee44212d6,804,772,58,225004,220548,21860,31.88
s1,ML-KEM-512,14,1300571,1990665,8130,12442,56800,36141,3142,35501,0,0,-21,0,5f015680dea9bd76a38d11353904e6973ebbb066b1d46798d97d2f5f0d705bdd,804,772,58,225004,220548,21860,36.22
s1,ML-KEM-512,15,1275830,2061537,7976,12886,56618,35661,480,34547,0,0,-21,0,6c612296265aba85020e8502664974042e9921318852a4a848a36185952f4cd1,804,772,58,225004,220548,21860,36.85
s1,ML-KEM-512,16,1277224,1991935,7984,12450,56368,35840,179,34193,0,0,-21,0,e52986f5ad026a3d6c17553f6feca8ffd71dee0fe491dac3773e5140d4d03a9d,804,772,58,225004,220548,21860,36.25
s1,ML-KEM-512,17,1276856,1864820,7982,11656,58749,36318,478,35447,0,0,-21,0,f0c0793da2873680a37514b0e751f7abe1411812e154a49471cfb2992ce429bf,804,772,58,225004,220548,21860,33.43
s1,ML-KEM-512,18,1278764,1866181,7994,11665,57016,34961,1357,34414,0,0,-21,0,6999b6c47b6e7e3e0499bc5708477b3390264a64af07ffc02c4e667a8ef87f74,804,772,58,225004,220548,21860,34.48
s1,ML-KEM-512,19,1276038,1865422,7978,11660,60808,38605,3644,37884,0,0,-21,0,0fd90d889cdaf14da0494da47db8d6b02b27c4ee81ceada151f7aac698bd6411,804,772,58,225004,220548,21860,32.30
s1,ML-KEM-512,20,1278826,2021374,7994,12634,54615,33903,4702,32386,0,0,-21,0,58d10d366393e127aabdbdcb22422ef02950dbbad57bb1e8251ee2d906448782,804,772,58,225004,220548,21860,37.77
s1,ML-KEM-512,21,1277332,1859554,7985,11623,59121,36710,2807,35410,0,0,-21,0,a21102c555f19fa61a01a23875f8e42cca9d13200d2eadbe30a97cd49ff4dbdc,804,772,58,225004,220548,21860,33.17
s1,ML-KEM-512,22,1280508,2002467,8005,12516,55022,34415,2295,33648,0,0,-21,0,fef1024b2d797ca1600cd6607aa8c6feeb60178bef2a47a897a029d673681cda,804,772,58,225004,220548,21860,37.30
