scenario,variant,iter,keygen_cycles,decaps_cycles,keygen_us,decaps_us,handshake_us,net_latency_us,jitter_us,energy_uj,reconnect_us,reconnect_energy_uj,rssi_dbm,packet_loss,ss_dec_hex,pub_bytes,ct_bytes,overhead_bytes,heap_free,heap_min,stack_hwm_bytes,cpu_util_percent,encaps_us,ss_enc_hex,ss_valid
s1,ML-KEM-512,0,1238241,1792899,7741,11207,42008,20453,0,24837,16241263,8848771,-20,0,ed2e363e033b512d099df9e488b0da631aa0acee3e9305ab53beafd3cd4cb176,804,772,58,224992,221596,21876,45.11,1467,ed2e363e033b512d099df9e488b0da631aa0acee3e9305ab53beafd3cd4cb176,1
s1,ML-KEM-512,1,1234649,1931874,7719,12078,38489,18606,1847,22982,16085248,8772205,-20,0,22dff7a972c7e757addde48c25ffc5a435a9b155da6be8d20464d16e008ec024,804,772,58,224560,220992,21876,51.44,1037,22dff7a972c7e757addde48c25ffc5a435a9b155da6be8d20464d16e008ec024,1
s1,ML-KEM-512,2,1235109,1789021,7722,11183,38295,16913,1693,23302,16086901,8786219,-20,0,2ea5232b9cb596b23008cece3c6bd66235c2f588567a95c6fce8e04ac0594de0,804,772,58,224340,219428,21844,49.37,1019,2ea5232b9cb596b23008cece3c6bd66235c2f588567a95c6fce8e04ac0594de0,1
s1,ML-KEM-512,3,1235193,1927774,7722,12051,37341,17486,573,22236,16086025,8790773,-19,0,8ba1fdd5e3200e6a039a2e596843e8de96db45b2813cb6e941ea3f79fa4267de,804,772,58,224128,219428,21844,52.95,1016,8ba1fdd5e3200e6a039a2e596843e8de96db45b2813cb6e941ea3f79fa4267de,1
s1,ML-KEM-512,4,1231997,1965110,7702,12284,37023,16955,531,22519,16043689,8719625,-20,0,9b7f4dbb940eafee06926737c0c2367bd0f206c38e20c2407980517d3a9ebaac,804,772,58,223916,219004,21844,53.98,1398,9b7f4dbb940eafee06926737c0c2367bd0f206c38e20c2407980517d3a9ebaac,1
s1,ML-KEM-512,5,1234519,1775367,7718,11099,37620,16164,791,22392,16138334,8783627,-20,0,be47e878de9f6371316852f53dfbec2cda25ca593e8fb1517610183bc2174e7c,804,772,58,223704,219004,21844,50.02,1033,be47e878de9f6371316852f53dfbec2cda25ca593e8fb1517610183bc2174e7c,1
s1,ML-KEM-512,6,1236307,1940494,7729,12132,35883,15936,228,21848,16001476,8676789,-20,0,26b86906786a2566c83cb056075a2fe0c5a25cf908d69d13fc7995089abceca2,804,772,58,223492,219004,21844,55.35,1012,26b86906786a2566c83cb056075a2fe0c5a25cf908d69d13fc7995089abceca2,1
s1,ML-KEM-512,7,1235607,1931204,7725,12074,40264,20383,4447,24555,16174876,8793545,-20,0,aa3c6fd095a5f5c5d5739ee9ef4b97d14609a613272670ea4251a3e8e40f28f7,804,772,58,223500,219004,21844,49.17,1017,aa3c6fd095a5f5c5d5739ee9ef4b97d14609a613272670ea4251a3e8e40f28f7,1
s1,ML-KEM-512,8,1234717,1935226,7719,12099,37686,17781,2602,23278,16083040,8775286,-20,0,cc671387f54978f10dd311ab18d5643faff54f162d40b232bf3006e021ea877b,804,772,58,223516,219004,21844,52.59,1053,cc671387f54978f10dd311ab18d5643faff54f162d40b232bf3006e021ea877b,1
s1,ML-KEM-512,9,1234721,1928094,7719,12054,36377,16514,1267,22338,16087768,8736475,-20,0,7d9b3265e387db2a3de315f98418bfaefdddbdaf1a918acf2a240a89530770c0,804,772,58,223516,219004,21844,54.36,1033,7d9b3265e387db2a3de315f98418bfaefdddbdaf1a918acf2a240a89530770c0,1
