scenario,variant,iter,keygen_cycles,decaps_cycles,keygen_us,decaps_us,handshake_us,net_latency_us,jitter_us,energy_uj,reconnect_us,reconnect_energy_uj,rssi_dbm,packet_loss,ss_dec_hex,pub_bytes,ct_bytes,overhead_bytes,heap_free,heap_min,stack_hwm_bytes,cpu_util_percent,encaps_us,ss_enc_hex,ss_valid
s1,ML-KEM-1024,0,3556714,4225897,22231,26415,215119,166382,0,124720,0,0,-20,0,f3baa1ba8a081264a68071f25d00a11f8fd85bda62b57aa5b635d93e51ee5629,1572,1572,58,220484,215260,10852,22.61,2332,f3baa1ba8a081264a68071f25d00a11f8fd85bda62b57aa5b635d93e51ee5629,1
s1,ML-KEM-1024,1,3068360,4421203,19178,27636,168052,121143,45239,97402,0,0,-20,0,a66743940d2c64ea937da2b834c2c67257f9cadfd5a137ac3cc6ce949f431ad5,1572,1572,58,220260,212072,10852,27.86,2095,a66743940d2c64ea937da2b834c2c67257f9cadfd5a137ac3cc6ce949f431ad5,1
s1,ML-KEM-1024,2,3069080,4151533,19183,25949,140000,92456,28687,82641,0,0,-20,0,12eca624089c12f0c2d4a24164f3e46161d671a6b9c13992b2a1b5daf03dd959,1572,1572,58,220248,212072,10852,32.24,2038,12eca624089c12f0c2d4a24164f3e46161d671a6b9c13992b2a1b5daf03dd959,1
s1,ML-KEM-1024,3,3078476,4136795,19242,25857,153247,105527,13071,90038,0,0,-20,0,4cbd7a4da8846c6df69a8f087ae0e0e4f4b8fd25c697773f9e26299d48debded,1572,1572,58,220248,212060,10852,29.43,2378,4cbd7a4da8846c6df69a8f087ae0e0e4f4b8fd25c697773f9e26299d48debded,1
s1,ML-KEM-1024,4,3077688,4448307,19236,27806,158027,110890,5363,94493,0,0,-20,0,b3243d438d929ebe0aeaf97ec57f20c5d1c8fa44fafbce8d8fd3a7d90c39e71c,1572,1572,58,220260,212060,10820,29.77,2059,b3243d438d929ebe0aeaf97ec57f20c5d1c8fa44fafbce8d8fd3a7d90c39e71c,1
s1,ML-KEM-1024,5,3089208,4193929,19309,26216,107826,62208,48682,65309,0,0,-20,0,5518c59a2db6d46178ef24d6481d7fbcaa89deddfdb1b9188d509388bdfaaa63,1572,1572,58,220260,212060,10820,42.22,2095,5518c59a2db6d46178ef24d6481d7fbcaa89deddfdb1b9188d509388bdfaaa63,1
s1,ML-KEM-1024,6,3069702,4272277,19187,26705,140475,94495,32287,82541,0,0,-20,0,3dffebdcc0170dd895df67dcfb67d45fd1468608e0e3d921ad1cadc58ce0edc0,1572,1572,58,220260,212060,10820,32.67,2039,3dffebdcc0170dd895df67dcfb67d45fd1468608e0e3d921ad1cadc58ce0edc0,1
s1,ML-KEM-1024,7,3092416,4210781,19329,26321,145918,100176,5681,85526,0,0,-21,0,7b79eccd9dc375f7398ec271f10b89e3dcc87ad97f5128be2c596516a8793648,1572,1572,58,220260,212060,10820,31.28,2015,7b79eccd9dc375f7398ec271f10b89e3dcc87ad97f5128be2c596516a8793648,1
s1,ML-KEM-1024,8,3263615,4430225,20399,27692,157354,109165,8989,91586,0,0,-21,0,c07b67c4c34673c4f31458106b7a6817d253c3e29b08e93796652e88eab75247,1572,1572,58,220260,212060,10820,30.56,2196,c07b67c4c34673c4f31458106b7a6817d253c3e29b08e93796652e88eab75247,1
s1,ML-KEM-1024,9,3272410,4233355,20454,26463,164711,117703,8538,96083,0,0,-21,0,ad52a3d85211ce15755064864f83522cc467211259c2ec53e4564b78fee0e2ce,1572,1572,58,220260,212060,10820,28.48,2172,ad52a3d85211ce15755064864f83522cc467211259c2ec53e4564b78fee0e2ce,1
s1,ML-KEM-1024,10,3065118,4450301,19158,27818,215224,168154,50451,122906,0,0,-21,0,99c988abc97c0a880e726eeb68d38c7ecc9c45a82899c9072801b999a6e93e77,1572,1572,58,220260,212060,10820,21.83,2150,99c988abc97c0a880e726eeb68d38c7ecc9c45a82899c9072801b999a6e93e77,1
s1,ML-KEM-1024,11,3070660,4133359,19193,25835,105434,57802,110352,62691,0,0,-21,0,c193db70475a0d4a1530f18aed59c81f08796b15f63ab34db874d133bca227cc,1572,1572,58,220248,212060,10820,42.71,455,c193db70475a0d4a1530f18aed59c81f08796b15f63ab34db874d133bca227cc,1
s1,ML-KEM-1024,12,3074598,4236507,19217,26482,125098,79306,21504,74178,0,0,-21,0,e8bc5f984555ae824e9b589fbf611f31c9b7936b917e6e23c5110d4915bca1ff,1572,1572,58,220248,212060,10820,36.53,3973,e8bc5f984555ae824e9b589fbf611f31c9b7936b917e6e23c5110d4915bca1ff,1
s1,ML-KEM-1024,13,3072384,4213747,19203,26338,145946,97801,18495,84906,0,0,-21,0,b7f7c053c4bf26ad2c5f60f05e35c928a95bd7e46571b46a6f72f02b6285d412,1572,1572,58,220048,212060,10820,31.20,1770,b7f7c053c4bf26ad2c5f60f05e35c928a95bd7e46571b46a6f72f02b6285d412,1
