iter,variant,encaps_us,ss_enc_hex
0,1024,2256,f02c7213b9e9af32a47abd6b485bf5a3df66fa374075c8770ca4759f05ad96fd
1,1024,2060,923f1edda209c9a0cf64c38d746c90fdca84a0e3e08d754c2d7acd70eb1d38da
2,1024,1503,ec3d621e93d8dfc5805337cf35d026210acfeebbe345242f994d17e475a04d4d
3,1024,504,a481d33a005dc9373fa172defafd829dc36c116c040583bfb699b2861c2ea3a2
4,1024,2219,399d2e5d62ba1547c386391563689515a6d3377b3b0a105120bb1ceacff03319
5,1024,5173,c633e3d43e1e64e6449b3ddf82bdd8b1a020a18c676a5605480d734bbd944a89
6,1024,2019,27d158c2c8a1023c4c67b2908282dfe4b1b802a0fd1528c272b8f5cbefa8d039
7,1024,2204,d6f68358d0904766044a99aabcff705770b2535cb9573103fe362add56882328
8,1024,2132,99445e678a26278c59c2b3bf142aa50037c4eebe3786a03acb5ffc97c4b941d7
9,1024,2730,c6df687093f42f090049d801c5756a6b85c6e60c32f8370afe87310611aa1714
10,1024,2440,401c4b9c332b8c5b79ae18842731da78180590225fa76f9015a2e1ad5068e51f
11,1024,910,c8e7c62fc3970bf19b140069138c42bd4f439a8568d8746e64ad8c555762b5eb
12,1024,2185,cb4bf78e53f4e381f00dd0a3f0360856d9079d8d80019687dceadba015e38c3c
13,1024,2029,76ec598482a40d03ca79000dd076da6529f97cbb9e3e2106fd01601a269aa775
14,1024,2426,319a9696a8cc0b08ac3f0c21ebdaa56bfdd7fa06638c5320863c005094c39514
15,1024,2023,8996e3227abcf780ca7f2ee2255ad971dc1b2c07b78adc0e46a2cf28b605cf25
16,1024,2061,c0f78acecdd1ba843454dd66b422d42fff5fe1db29f64327ccd2a23a1a0a06e7
17,1024,2062,75c7b50fa9369b2850a7a6b7bf44a30ba2d7c18ef7eae6175bc0e6a3ea64894f
18,1024,2045,d7788b3ed977496c296d925bb0f37854b82a001abf3f4a4959783221cd0ce7ec
19,1024,2212,2e2a03d3b8dbbbba7d01c20567b0b593853c5092d4d8e71e1d38930b6790959d
20,1024,2082,3bef338f747e40e00aee0a6a1ae5dcc84746a31eb18e4a36bfcb46d810850aa5
21,1024,2244,ded6dade061312450ad376297015aaa3855df175e0d5b2bfc57dfd194f7a921c
22,1024,2046,e36c67ca47be2ab8b27545fb99fc61060b1721b4acd2dac1ee1c01353af9a771
23,1024,2032,24da5fefa820d35c89d12088d98ef0a0f113b9c7b6d3ba993ecf348a08bbf369
24,1024,2111,be4a40e80e4a1438a85fa03528aa1d980f49db8c81719752044faa9edc3464df
25,1024,1683,26e355d8462d59c891a53e72675f6ddb09e46a04795a920a237a79f8d1031848
26,1024,2279,5e889a867124031932632dea4840e4113249a6d092fa4a034458e46d8fd40f8a
27,1024,2088,e2284dfbdfbdcd53721ce11bef9cb1008a60dd3886eee024e478e96561dc373e
28,1024,3417,53812c736e7e4d9b5b94a264054573842706be257825f908fcf662b2c952d0ff
29,1024,2044,3521351900218146fd6c3401be7d8662eddcee28dfc59e1863e9d83a68f2908e
30,1024,2050,e4fc6ee617ee669928fa56b49ff72ea26a8e2bae9159aa65990730b670e13de5
31,1024,1719,22cd2bf1e56e5f8ef9cdf47b8e8e415f2747dcd5362c14d815a90986fe6b913e
32,1024,2034,a54e306a2261392d0aa4fe982890a8cb21b3708db467fb9b9c5bdb45e11f9a77
33,1024,2038,68edaf80ecbfbd052211428995a042ebfd4afb458ea3a38be415c9ed71293d45
34,1024,2442,d1e0fc966bc0dc98f2695da8c5dbba1e83c1ca8612cb3ed1e878f28894948586
35,1024,3999,522036f8233f007ec1e28c3b8a403bb942799ac8923a9779a65cd80a67ebf9d1
36,1024,949,bf1e4dccf115c9f2f811bda8df975a12bfe000252b97f46ee90d6ebe321eae6e
37,1024,1391,a1aa6a79b533cec6dd2e4491c1fb6c09de5cafec85030173fd6bd6244a8675e5
38,1024,2287,7db61d07343d09fe2c301a8258d99088bd94f201b607ad2341733445e4e4c153
39,1024,2035,f4849cc19a3335a6a31072214ba68501cbfc6112a9130d6237801fde771a2703
40,1024,2044,6253ed6d31c3fe4823e3f1c892a21912be00288acd8fc892cfcd1e59ba2f8d12
41,1024,3948,21f94be9b6afc422993a83a108a27c97ec53bca8ae18eb1f369dcc3f4c55be8c
42,1024,2068,83dddb70e6fba8015eb9626a7928d19599c2e828d08c9bbe3b4e9aebda2e1b64
43,1024,1639,721cad851666e1a661276c0f4593ef86a13c9f42dbbfd0e7071bd131dc9f506c
44,1024,466,c2529b9e48e475e80c8dc4470aba083327c85e4906ed1afc0708104256c5109d
45,1024,1693,53bfa04d931b1463e8d345ade05b795d27fad92a3ec568b100e86e77d557f120
46,1024,1688,f11b5393e33236743405d02c4293bf1d04db34feac88f6bec82ca12bdb51627b
47,1024,2261,d6b716bfc6e05624dbddb8c121bdcce7019b1b92f81011feb5946590b8b2f942
48,1024,2198,8c0e1d2a0c41585a6a27211ab954e376cedc4a8c3a859f5250271c43f5d9ed64
49,1024,3022,0ddad15d183e077c6cd468aee98fa060ee0fc9f7b028b500acc0ccc54a184da6
50,1024,2062,a7e7df9be440b889707caba20665f9c01a0f45ae0fc7fb128e4316377abed6fb
51,1024,2023,993aa6e16ececca7bfa130a347817079a57919d33491d9cb40c80e34e131355b
52,1024,473,0515b16d4521605fd12fef819975fa87ba704de444f06f4fda1ffba56010fccf
53,1024,899,a9a5bcfec910dd6fae678a6c823a2d5b4e73d776e6d2a723d4122aa1d1e644f0
54,1024,2087,737a1734a00c5e156be7a9c8f6f9db6282af51452a101f018397d9ccb535956e
55,1024,911,fc58f062775cf1e06587888759eb47cd7ad684c674c551c4c6341f878bf71c19
56,1024,2620,0fdc095c71cf1201e007ccb1ac54e2c783b0016ee9a46149827c270dc5376cde
