scenario,variant,iter,keygen_cycles,decaps_cycles,keygen_us,decaps_us,handshake_us,net_latency_us,jitter_us,energy_uj,reconnect_us,reconnect_energy_uj,rssi_dbm,packet_loss,ss_dec_hex,pub_bytes,ct_bytes,overhead_bytes,heap_free,heap_min,stack_hwm_bytes,cpu_util_percent,encaps_us,ss_enc_hex,ss_valid
s1,ML-KEM-1024,0,3095353,4166824,19348,26044,131053,83145,0,79037,16020695,8902653,-18,0,3105c8883b7ae69c7092c8f275ecc6938b7ae3330b15d2bbbeb3181ad07d5a63,1572,1572,58,220380,215176,10852,34.64,2293,3105c8883b7ae69c7092c8f275ecc6938b7ae3330b15d2bbbeb3181ad07d5a63,1
s1,ML-KEM-1024,1,3074322,4076496,19217,25480,122347,74906,8239,72850,16052713,8982835,-18,0,52e05c7437b0e5c3d9021a25244e60750693e242324af43847886d08cb2a3a59,1572,1572,58,219968,214980,10852,36.53,2075,52e05c7437b0e5c3d9021a25244e60750693e242324af43847886d08cb2a3a59,1
s1,ML-KEM-1024,2,3096734,4097159,19357,25609,114146,66321,8585,68394,16027956,8902357,-19,0,422cd0db7489aab2afc1228082e03f2e54846495578e052a86f8da15efe14bc9,1572,1572,58,219756,214768,10820,39.39,2050,422cd0db7489aab2afc1228082e03f2e54846495578e052a86f8da15efe14bc9,1
s1,ML-KEM-1024,3,3074330,4078028,19217,25489,112980,65449,872,68007,16089804,8972862,-19,0,1ace63341c42a426734eebc60cba89cad10c06189b0cc09b817e0cb205d27d6f,1572,1572,58,219544,214320,10820,39.57,2054,1ace63341c42a426734eebc60cba89cad10c06189b0cc09b817e0cb205d27d6f,1
s1,ML-KEM-1024,4,3193101,4076791,19959,25481,111840,63633,1816,67460,16012589,8951341,-19,0,08bd49b895ca56243fb30a140ef4d8f5fe06f77387ef3fd7f17a0399ecf3570b,1572,1572,58,219332,214320,10820,40.63,2076,08bd49b895ca56243fb30a140ef4d8f5fe06f77387ef3fd7f17a0399ecf3570b,1
s1,ML-KEM-1024,5,3073648,4131179,19212,25821,113219,65758,2125,69040,16014262,9013626,-19,0,cf9bb8b440276707977a0af97aedbb70bbb51c4bc30651d45beb10efa536a5a6,1572,1572,58,219120,214120,10820,39.78,2060,cf9bb8b440276707977a0af97aedbb70bbb51c4bc30651d45beb10efa536a5a6,1
s1,ML-KEM-1024,6,3074582,4080347,19220,25503,114563,67072,1314,68684,16012755,8941176,-19,0,d1fcbbdb0014eae1507bfe359c66a48b66d815756c9216dd70dfc160c8443c9e,1572,1572,58,218908,213684,10820,39.04,2277,d1fcbbdb0014eae1507bfe359c66a48b66d815756c9216dd70dfc160c8443c9e,1
s1,ML-KEM-1024,7,3075314,4090240,19223,25565,113106,65450,1622,67601,16010795,8939209,-18,0,8eac9d82342a55c2eb0f542b37d8c4bd6c53e0c332176fe3a31bf657e4e4d34f,1572,1572,58,218924,213684,10820,39.60,2091,8eac9d82342a55c2eb0f542b37d8c4bd6c53e0c332176fe3a31bf657e4e4d34f,1
s1,ML-KEM-1024,8,3073474,4074007,19211,25464,112934,65427,23,68687,16012509,8943862,-19,0,5a18c154e587437463c340d93861b0401d6ed0564a8a6554799bb4be8c7af66f,1572,1572,58,218924,213684,10820,39.56,2034,5a18c154e587437463c340d93861b0401d6ed0564a8a6554799bb4be8c7af66f,1
s1,ML-KEM-1024,9,3073638,4110418,19212,25691,114618,66862,1435,68429,16012887,8965434,-19,0,a1a62008bcb07cd9f10f6571154ce42883bc04716b00f4c3f8e5d3d9fd5db794,1572,1572,58,218924,213684,10820,39.18,2037,a1a62008bcb07cd9f10f6571154ce42883bc04716b00f4c3f8e5d3d9fd5db794,1
s1,ML-KEM-1024,10,3073882,4073069,19215,25457,111981,64437,2425,67807,16011639,8952843,-19,0,2fb77164be232e533ab7d0ee0c7e2184112f15b4b889e9dabc79392300a08dcf,1572,1572,58,218924,213684,10820,39.89,2358,2fb77164be232e533ab7d0ee0c7e2184112f15b4b889e9dabc79392300a08dcf,1
s1,ML-KEM-1024,11,3073324,4200004,19210,26251,112985,67426,2989,68335,16013973,8962604,-18,0,74fdcc6712e7b104d343193f888bd9b717f5ef9a2ee44f6e86ed4467ff1e1c98,1572,1572,58,218924,213684,10820,40.24,2298,74fdcc6712e7b104d343193f888bd9b717f5ef9a2ee44f6e86ed4467ff1e1c98,1
s1,ML-KEM-1024,12,3073438,4191913,19211,26200,109990,64485,2941,66997,16012434,8978258,-18,0,485e9cddee01f4890653f5ecdfc32e2f0b50414d3a23d1325b3be9e4d453a83f,1572,1572,58,218924,213684,10820,41.29,2032,485e9cddee01f4890653f5ecdfc32e2f0b50414d3a23d1325b3be9e4d453a83f,1
s1,ML-KEM-1024,13,3092488,4081717,19330,25512,114864,67179,2694,69102,16015531,8974000,-18,0,9d9fa6c60acd6a0c77f8665a601ba54e9f6882ae7ac07183012d7b748daa1858,1572,1572,58,218924,213684,10820,39.04,2032,9d9fa6c60acd6a0c77f8665a601ba54e9f6882ae7ac07183012d7b748daa1858,1
s1,ML-KEM-1024,14,3074252,4076157,19216,25477,116761,69253,2074,70774,16014031,8969492,-19,0,865bf03fe5907f8e9fbe3c5cefb4c4abff2f9ef80d07aa52eca3a7f97d42a03a,1572,1572,58,218924,213684,10820,38.28,2115,865bf03fe5907f8e9fbe3c5cefb4c4abff2f9ef80d07aa52eca3a7f97d42a03a,1
s1,ML-KEM-1024,15,3075792,4077300,19226,25484,111740,64349,4904,67923,15987714,8952283,-19,0,1c0c5c2b9aaa67c280944c93509b446e6479f66591ab27a894c82993ac6e4671,1572,1572,58,218924,213684,10820,40.01,2092,1c0c5c2b9aaa67c280944c93509b446e6479f66591ab27a894c82993ac6e4671,1
