scenario,variant,iter,keygen_cycles,decaps_cycles,keygen_us,decaps_us,handshake_us,net_latency_us,jitter_us,energy_uj,reconnect_us,reconnect_energy_uj,rssi_dbm,packet_loss,ss_dec_hex,pub_bytes,ct_bytes,overhead_bytes,heap_free,heap_min,stack_hwm_bytes,cpu_util_percent,encaps_us,ss_enc_hex,ss_valid
s1,ML-KEM-1024,0,3491168,4113887,21821,25714,123576,73190,0,72785,0,0,-22,0,bcbddb35c609385b8869679b6ebcf61a6b0471ebaaaf3ba3f1dab8bf54c91dda,1572,1572,58,220628,215636,10820,38.47,1959,bcbddb35c609385b8869679b6ebcf61a6b0471ebaaaf3ba3f1dab8bf54c91dda,1
s1,ML-KEM-1024,1,3237604,4081423,20237,25511,70034,21559,51631,43688,0,0,-22,0,ea46ea2587e68ce27f5449a4e5a4daabec7bb69770b10b5a5e7ff095201f58cc,1572,1572,58,220416,215180,10820,65.32,1148,ea46ea2587e68ce27f5449a4e5a4daabec7bb69770b10b5a5e7ff095201f58cc,1
s1,ML-KEM-1024,2,3250162,4195351,20314,26223,71385,24760,3201,45067,0,0,-22,0,4ea8daa2af2931d9256bbc81208cb9a980ed9ff01606175cb55e65e4b593cde0,1572,1572,58,220416,215180,10820,65.19,1779,4ea8daa2af2931d9256bbc81208cb9a980ed9ff01606175cb55e65e4b593cde0,1
s1,ML-KEM-1024,3,3266126,4072529,20414,25455,68338,19488,5272,41855,0,0,-22,0,7ed0919212f8dc2210ede22155fc907aaf0a5c251858605211c9e71a8e057466,1572,1572,58,220412,215180,10820,67.12,625,7ed0919212f8dc2210ede22155fc907aaf0a5c251858605211c9e71a8e057466,1
s1,ML-KEM-1024,4,3253828,4216936,20337,26360,68072,21296,1808,43229,0,0,-22,0,313e42739f42b48ca09f6171137e699703f9edbcff45da0ea4a5d9cfef4851e3,1572,1572,58,220412,215180,10820,68.60,1568,313e42739f42b48ca09f6171137e699703f9edbcff45da0ea4a5d9cfef4851e3,1
s1,ML-KEM-1024,5,3279399,4091542,20497,25574,71456,22550,1254,45194,0,0,-22,0,4b235e4956346cbdf7083f5f370bffdb74337e0ba64ce4ecf24579dc21bf6dc9,1572,1572,58,220412,215180,10820,64.47,1349,4b235e4956346cbdf7083f5f370bffdb74337e0ba64ce4ecf24579dc21bf6dc9,1
s1,ML-KEM-1024,6,3244875,4072983,20281,25458,71931,23330,780,44652,0,0,-22,0,489dc6d67a69357e2195461c7581fbadfd0fd599f79be5d7883459f4b5ed7321,1572,1572,58,220412,215180,10820,63.59,1460,489dc6d67a69357e2195461c7581fbadfd0fd599f79be5d7883459f4b5ed7321,1
s1,ML-KEM-1024,7,3229885,4107736,20188,25675,69721,21007,2323,42885,0,0,-22,0,93ae9d07f8e905f462713f0232cbdbc7472f96d9e1c7a5dcf1d6a9d72df35167,1572,1572,58,220412,215180,10820,65.78,586,93ae9d07f8e905f462713f0232cbdbc7472f96d9e1c7a5dcf1d6a9d72df35167,1
s1,ML-KEM-1024,8,3236069,4209601,20226,26313,66954,20321,686,42161,0,0,-22,0,2636dcde6a63c5abbb08173d10792555159551769332f4653b0f726ab04a6724,1572,1572,58,220412,215180,10820,69.51,689,2636dcde6a63c5abbb08173d10792555159551769332f4653b0f726ab04a6724,1
s1,ML-KEM-1024,9,3276676,4182819,20481,26146,67928,21211,890,42370,0,0,-22,0,802ac5880c7e036f6a5f50f66e30ade7b572198652b246a1f80c155ed1e8167b,1572,1572,58,220412,215180,10820,68.64,495,802ac5880c7e036f6a5f50f66e30ade7b572198652b246a1f80c155ed1e8167b,1
s1,ML-KEM-1024,10,3251502,4122307,20323,25767,75535,26519,5308,47032,0,0,-22,0,0e12f48b01756d526a8fbc0b1067157ac6d515f4ab5a0bb599e88b95027ec2df,1572,1572,58,220412,215180,10820,61.02,2075,0e12f48b01756d526a8fbc0b1067157ac6d515f4ab5a0bb599e88b95027ec2df,1
s1,ML-KEM-1024,11,3269710,4228219,20437,26431,72807,25845,674,45377,0,0,-22,0,a5cd0088723619d7f9415ec93280c8e6595ad63903ef7f47b0efc7488612c1ab,1572,1572,58,220412,215180,10820,64.37,2391,a5cd0088723619d7f9415ec93280c8e6595ad63903ef7f47b0efc7488612c1ab,1
s1,ML-KEM-1024,12,3237073,4078300,20232,25491,71445,22956,2889,43892,0,0,-22,0,e1a252cd64dd629b8bd9f7735a4d79a92b82f46d8a94b941518351fe76209d1d,1572,1572,58,220412,215180,10820,64.00,548,e1a252cd64dd629b8bd9f7735a4d79a92b82f46d8a94b941518351fe76209d1d,1
