scenario,variant,iter,keygen_cycles,decaps_cycles,keygen_us,decaps_us,handshake_us,net_latency_us,jitter_us,energy_uj,reconnect_us,reconnect_energy_uj,rssi_dbm,packet_loss,ss_dec_hex,pub_bytes,ct_bytes,overhead_bytes,heap_free,heap_min,stack_hwm_bytes,cpu_util_percent,encaps_us,ss_enc_hex,ss_valid
s1,ML-KEM-1024,0,3164893,3887047,19782,24295,121414,74562,0,76351,0,0,-22,0,796f0726d3857946f008075ad45b72476855dcd30091b05f2a8e2ba396902294,1572,1572,58,220500,215336,10804,36.30,2328,796f0726d3857946f008075ad45b72476855dcd30091b05f2a8e2ba396902294,1
s1,ML-KEM-1024,1,3109956,4087122,19440,25546,71825,25695,48867,47000,0,0,-22,0,df4536bfd31d8c9973ccb9bdb02e730d192a08c38d46d3a0c09f485e7ed8dde2,1572,1572,58,220288,215052,10804,62.63,1396,df4536bfd31d8c9973ccb9bdb02e730d192a08c38d46d3a0c09f485e7ed8dde2,1
s1,ML-KEM-1024,2,3108020,3865600,19427,24161,71247,24824,871,46429,0,0,-22,0,7fd7bd48d6f4cc60dc17c580fd764d4b5ee81ec22373c322c60db5863eaa8198,1572,1572,58,220288,215052,10804,61.18,1671,7fd7bd48d6f4cc60dc17c580fd764d4b5ee81ec22373c322c60db5863eaa8198,1
s1,ML-KEM-1024,3,3108743,3954210,19431,24717,74509,27552,2728,48348,0,0,-22,0,ade05dfc7d27c56fcc7974337889810b1711e25a0a9963318cfff13e65fde389,1572,1572,58,220284,215052,10804,59.25,2055,ade05dfc7d27c56fcc7974337889810b1711e25a0a9963318cfff13e65fde389,1
s1,ML-KEM-1024,4,2932757,3857097,18332,24108,76866,31693,4141,49585,0,0,-22,0,82c18a05bcf71c04ded3d4ee3b41ae0cac56e58c9c60c91c3a7243b3f4a645cf,1572,1572,58,220284,211948,10804,55.21,1248,82c18a05bcf71c04ded3d4ee3b41ae0cac56e58c9c60c91c3a7243b3f4a645cf,1
s1,ML-KEM-1024,5,3107659,4112335,19425,25703,73172,26873,4820,49237,0,0,-22,0,0005e02cb150444af54076e79c78e7cdd05e4926ceaa448c54b1bfee31dc3200,1572,1572,58,220284,211948,10804,61.67,1508,0005e02cb150444af54076e79c78e7cdd05e4926ceaa448c54b1bfee31dc3200,1
s1,ML-KEM-1024,6,2935904,3998525,18351,24992,68846,25424,1449,45263,0,0,-22,0,b2dd6ba214f6fa44b6be2387f837df0626216e229c23169b5c9e66171e21a296,1572,1572,58,220284,211948,10804,62.96,1580,b2dd6ba214f6fa44b6be2387f837df0626216e229c23169b5c9e66171e21a296,1
s1,ML-KEM-1024,7,3111370,3868426,19450,24179,75767,29410,3986,50415,0,0,-22,0,37ac4ae71c83fbbb1c31054ce77b327e7e9a439f04b8523b989d9e0bad7e040d,1572,1572,58,220284,211948,10804,57.58,2097,37ac4ae71c83fbbb1c31054ce77b327e7e9a439f04b8523b989d9e0bad7e040d,1
s1,ML-KEM-1024,8,3167440,4014588,19799,25093,71107,26117,3293,46153,0,0,-21,0,56baca158bb3b751ed006ea237b956c816fdb927bfaa1ae851f801062fa34836,1572,1572,58,220284,211948,10804,63.13,2074,56baca158bb3b751ed006ea237b956c816fdb927bfaa1ae851f801062fa34836,1
s1,ML-KEM-1024,9,3111202,3876874,19447,24231,77655,31092,4975,49400,0,0,-21,0,d562231e7d5f1f30aca43f203f77b232b3b27539f3149485311b35f22eca3322,1572,1572,58,220284,211948,10804,56.25,4272,d562231e7d5f1f30aca43f203f77b232b3b27539f3149485311b35f22eca3322,1
