scenario,variant,iter,keygen_cycles,decaps_cycles,keygen_us,decaps_us,handshake_us,net_latency_us,jitter_us,energy_uj,reconnect_us,reconnect_energy_uj,rssi_dbm,packet_loss,ss_dec_hex,pub_bytes,ct_bytes,overhead_bytes,heap_free,heap_min,stack_hwm_bytes,cpu_util_percent,encaps_us,ss_enc_hex,ss_valid
s1,ML-KEM-768,0,1941312,2845682,12136,17789,98156,68139,0,56188,10122024,5362929,-17,0,7e9c99ab0905943e960e984d2229f9bda4f0e83eacc722583b37a864eeb1bdba,1188,1092,58,223032,218412,16964,30.49,1708,7e9c99ab0905943e960e984d2229f9bda4f0e83eacc722583b37a864eeb1bdba,1
s1,ML-KEM-768,1,1936625,2698395,12106,16868,93773,62278,5861,54012,16027694,8474051,-18,0,51265d09a3c64ed5eeb232b652bdf4dad8b3361848f7f750e479c98d4f5357bd,1188,1092,58,222672,218056,16964,30.90,1543,51265d09a3c64ed5eeb232b652bdf4dad8b3361848f7f750e479c98d4f5357bd,1
s1,ML-KEM-768,2,1958863,2830744,12245,17697,95441,65402,3124,55343,16033859,8556893,-17,0,de636df21341631491e4342f0503e96407c0c2620b0bb49f59cb4499eaf3085b,1188,1092,58,222460,217844,16964,31.37,1601,de636df21341631491e4342f0503e96407c0c2620b0bb49f59cb4499eaf3085b,1
s1,ML-KEM-768,3,1937299,2811348,12110,17575,93481,63704,1698,53731,16029111,8527466,-17,0,7798bc51ff3c12865c66ee5b5334603597f9953ef020de982cd7715fdc882d8a,1188,1092,58,222248,217420,16964,31.76,1441,7798bc51ff3c12865c66ee5b5334603597f9953ef020de982cd7715fdc882d8a,1
s1,ML-KEM-768,4,1936583,2694513,12106,16843,92726,61242,2462,53189,11117296,5912862,-17,0,8c87603017fc44d223be40221395b263272e398a428bb4f5170e324ac6705e93,1188,1092,58,222036,217208,16948,31.22,1415,8c87603017fc44d223be40221395b263272e398a428bb4f5170e324ac6705e93,1
s1,ML-KEM-768,5,1936822,2810639,12107,17570,91513,61745,503,52681,16032757,8522103,-17,0,0fe6b7cee8cc5fa83f81fd6ad3da820b2c0f52c6f8e224ad245018839e7f23a1,1188,1092,58,221824,216912,16948,32.43,1448,0fe6b7cee8cc5fa83f81fd6ad3da820b2c0f52c6f8e224ad245018839e7f23a1,1
s1,ML-KEM-768,6,1936451,2810876,12105,17571,92297,62530,785,52579,16034673,8567000,-17,0,7cc487dfec4b9141ea83e89549cebdd80e2cfb7a8356401c748f90e64653ca30,1188,1092,58,221612,216912,16948,32.15,1484,7cc487dfec4b9141ea83e89549cebdd80e2cfb7a8356401c748f90e64653ca30,1
s1,ML-KEM-768,7,1936812,2840450,12107,17756,94041,64086,1556,54241,15998089,8548708,-18,0,6eab578fe203dda8094d049b777baf11d9a08a30ef9f28c58a41109be1eb2053,1188,1092,58,221400,216564,16948,31.76,1423,6eab578fe203dda8094d049b777baf11d9a08a30ef9f28c58a41109be1eb2053,1
s1,ML-KEM-768,8,1936443,2688651,12105,16807,93175,61613,2473,53788,16066712,8604721,-17,0,193e3dff50e0cdb2fb5afe18362f8e598ca9be788b969f55dc9ec8b349d637db,1188,1092,58,221424,216564,16916,31.03,1437,193e3dff50e0cdb2fb5afe18362f8e598ca9be788b969f55dc9ec8b349d637db,1
s1,ML-KEM-768,9,1935739,2845324,12101,17787,92800,62822,1209,54589,16001855,8554113,-17,0,d3fc743057cd6a2f88e38771e74c421d02eb0f7db9019b1716b1089d338cb356,1188,1092,58,221412,216564,16916,32.21,1521,d3fc743057cd6a2f88e38771e74c421d02eb0f7db9019b1716b1089d338cb356,1
s1,ML-KEM-768,10,1935803,2814580,12101,17595,94203,64418,1596,54335,15997365,8536146,-17,0,bb71a94398d4d7030af711fb1523928ca081dbf0af1e4847c4b94d1a6471fd88,1188,1092,58,221412,216564,16916,31.52,1427,bb71a94398d4d7030af711fb1523928ca081dbf0af1e4847c4b94d1a6471fd88,1
s1,ML-KEM-768,11,1937353,2821016,12111,17634,93599,63768,650,54025,16098487,8591362,-17,0,16df1b35e1d32b081c6c07394bd59200a180175c4b0d16179dd0e5a0eb89d241,1188,1092,58,221416,216564,16916,31.78,1487,16df1b35e1d32b081c6c07394bd59200a180175c4b0d16179dd0e5a0eb89d241,1
s1,ML-KEM-768,12,1936726,2697997,12107,16865,93773,62273,1495,53734,16030938,8549462,-17,0,2a72390c4a957bd8e2bce1a8e850e3dc6ba766868c613f96329b2f6b49744fea,1188,1092,58,221416,216564,16916,30.90,1437,2a72390c4a957bd8e2bce1a8e850e3dc6ba766868c613f96329b2f6b49744fea,1
