scenario,variant,iter,keygen_cycles,decaps_cycles,keygen_us,decaps_us,handshake_us,net_latency_us,jitter_us,energy_uj,reconnect_us,reconnect_energy_uj,rssi_dbm,packet_loss,ss_dec_hex,pub_bytes,ct_bytes,overhead_bytes,heap_free,heap_min,stack_hwm_bytes,cpu_util_percent,encaps_us,ss_enc_hex,ss_valid
s1,ML-KEM-1024,0,3076688,4074395,19231,25466,121994,74473,0,74020,16045300,8776180,-21,0,3659b8fdd1b630f39b61a56f28326d01f7e596e60cff2a3a561419cad3945242,1572,1572,58,220260,215040,10900,36.64,2385,3659b8fdd1b630f39b61a56f28326d01f7e596e60cff2a3a561419cad3945242,1
s1,ML-KEM-1024,1,3073838,4093770,19213,25587,121161,73455,1018,72838,16003488,8743676,-23,0,bda62c7370142fd1ca58a445ea9e36c38b20c4d62b7a65299a777122e2fe03a0,1572,1572,58,219844,214852,10852,36.98,2220,bda62c7370142fd1ca58a445ea9e36c38b20c4d62b7a65299a777122e2fe03a0,1
s1,ML-KEM-1024,2,3072982,4068013,19210,25427,122281,74848,1393,71634,16004032,8723967,-23,0,e6cd788d74ff6e215d3d5d683eec5ceb160f57aa814d9a7bc080d15541587281,1572,1572,58,219632,214436,10852,36.50,4170,e6cd788d74ff6e215d3d5d683eec5ceb160f57aa814d9a7bc080d15541587281,1
s1,ML-KEM-1024,3,3073038,4069950,19209,25438,113312,66051,8797,67685,16003568,8749314,-22,0,a7412024cc57625eaf0bf939b114fb26b226227157d1d3a112ebcd2d8ff85875,1572,1572,58,219420,214204,10820,39.40,2532,a7412024cc57625eaf0bf939b114fb26b226227157d1d3a112ebcd2d8ff85875,1
s1,ML-KEM-1024,4,3096710,4103540,19357,25648,115050,67141,1090,67698,15988758,8751368,-22,0,7b7168d49deb06e1f1c4d72fc4f98e045f2a4925534440dcd54240070a020f2f,1572,1572,58,219196,214204,10820,39.12,2131,7b7168d49deb06e1f1c4d72fc4f98e045f2a4925534440dcd54240070a020f2f,1
s1,ML-KEM-1024,5,3095430,4099734,19349,25624,131484,83767,16626,79446,16034402,8701596,-22,0,82a8904dd3581d8aa7941996492e6561ed637cd258a23c95e4f88bbebb05b736,1572,1572,58,218984,213992,10820,34.20,2221,82a8904dd3581d8aa7941996492e6561ed637cd258a23c95e4f88bbebb05b736,1
s1,ML-KEM-1024,6,3073492,4190307,19211,26190,113082,67583,16184,66635,15998161,8679038,-22,0,c95de57f8e09f22ff01fe2a9d6b37dd1d48a016d0c165498ac31afe2e569ed65,1572,1572,58,218772,213780,10820,40.15,2047,c95de57f8e09f22ff01fe2a9d6b37dd1d48a016d0c165498ac31afe2e569ed65,1
s1,ML-KEM-1024,7,3073166,4070921,19210,25444,114355,67069,514,68525,15992771,8738406,-22,0,8103dacbe15f50a21c23a539f9800327d2e08c734a42add68cfbf94875b5371b,1572,1572,58,218788,213780,10820,39.05,2121,8103dacbe15f50a21c23a539f9800327d2e08c734a42add68cfbf94875b5371b,1
s1,ML-KEM-1024,8,3074396,4109628,19218,25686,114366,66634,435,69216,16027303,8756902,-22,0,e4505972f489d769f336433c3ea3918d5127fd55ad0e63aca035f657bc8e7354,1572,1572,58,218780,213780,10820,39.26,2128,e4505972f489d769f336433c3ea3918d5127fd55ad0e63aca035f657bc8e7354,1
s1,ML-KEM-1024,9,3074448,4100152,19217,25627,116454,68816,2182,71267,16010903,8732053,-22,0,a61584d9171ca4f46b9204f717897e2ba44692b3022a5738f158308368c799e2,1572,1572,58,218788,213780,10820,38.51,2186,a61584d9171ca4f46b9204f717897e2ba44692b3022a5738f158308368c799e2,1
s1,ML-KEM-1024,10,3074346,4069448,19217,25435,121198,73751,4935,71783,16010500,8744320,-22,0,0eaad667f107b4598068dc22d2538c6ecf8ad31feafe6ff691ca1f003530f650,1572,1572,58,218788,213780,10820,36.84,2053,0eaad667f107b4598068dc22d2538c6ecf8ad31feafe6ff691ca1f003530f650,1
s1,ML-KEM-1024,11,3094614,4240733,19343,26506,120968,75031,1280,73616,16003460,8764477,-22,0,8b4c9782ae11d9affda45c348940610875b3b1f40aa97210942e029bd8945da6,1572,1572,58,218800,213780,10820,37.90,2100,8b4c9782ae11d9affda45c348940610875b3b1f40aa97210942e029bd8945da6,1
s1,ML-KEM-1024,12,3073774,4192099,19213,26202,112902,67401,7630,67658,16004233,8746287,-22,0,18b5638765c52c7ef1fe1f846f98869dc0fc638cfb82b822e537ce28ec7e7d21,1572,1572,58,218788,213772,10820,40.23,2070,18b5638765c52c7ef1fe1f846f98869dc0fc638cfb82b822e537ce28ec7e7d21,1
s1,ML-KEM-1024,13,3073520,4076215,19212,25477,113958,66290,1111,66983,15991575,8767200,-22,0,0066d47994a5f7d77ca5880bedf4e633f09f70eece4ccac245af65293019016c,1572,1572,58,218788,213548,10820,39.22,2083,0066d47994a5f7d77ca5880bedf4e633f09f70eece4ccac245af65293019016c,1
s1,ML-KEM-1024,14,3217380,4097086,20112,25608,121147,72539,6249,72290,16033814,8795983,-22,0,dd014e7fca6e96ded92e5393b6aae9fabaa1f84c0bd35ac2aadf72d0a1d351f9,1572,1572,58,218788,213548,10820,37.74,2084,dd014e7fca6e96ded92e5393b6aae9fabaa1f84c0bd35ac2aadf72d0a1d351f9,1
s1,ML-KEM-1024,15,3074972,4073953,19220,25463,122884,75347,2808,72712,16005249,8771611,-22,0,2f0a1ceb012b7ee26af2e29681e34bcfeea10993cb6337da572252b2b3ed6cf1,1572,1572,58,218788,213548,10820,36.36,2062,2f0a1ceb012b7ee26af2e29681e34bcfeea10993cb6337da572252b2b3ed6cf1,1
s1,ML-KEM-1024,16,3074922,4075801,19221,25475,114939,67378,7969,68205,16003350,8773137,-22,0,f638be8265a35071ccc2d33aab5a717e9b8c16130e6366e2858b33a9d88a0987,1572,1572,58,218784,213548,10820,38.89,2194,f638be8265a35071ccc2d33aab5a717e9b8c16130e6366e2858b33a9d88a0987,1
s1,ML-KEM-1024,17,3072700,4071052,19206,25445,114240,66795,583,67166,16011373,8754188,-22,0,a034837d0424b1d64969c870cfd08562df2c4804f5ce91c90aec035133354a81,1572,1572,58,218800,213548,10820,39.09,2066,a034837d0424b1d64969c870cfd08562df2c4804f5ce91c90aec035133354a81,1
s1,ML-KEM-1024,18,3072596,4241911,19207,26513,115011,69188,2393,69411,16010876,8777818,-22,0,7dba5e29228af4716be8b036f2c523003f24f2da8e864d9db99c9fc9dbe06a41,1572,1572,58,218788,213548,10820,39.75,2343,7dba5e29228af4716be8b036f2c523003f24f2da8e864d9db99c9fc9dbe06a41,1
s1,ML-KEM-1024,19,3073330,4076177,19212,25478,119852,72336,3148,72217,16012466,8780779,-22,0,8e7ccce768917a036f969cc19df193abce11b0b5783f7b291112bff4493d68ca,1572,1572,58,218788,213548,10820,37.29,2071,8e7ccce768917a036f969cc19df193abce11b0b5783f7b291112bff4493d68ca,1
s1,ML-KEM-1024,20,3073840,4076856,19214,25481,144901,97374,25038,84971,15989531,8776324,-22,0,d0329a58386877c634796f5115aa3bb6ed9564a83acbb84b0c9578cf1d0c5b02,1572,1572,58,218788,213548,10820,30.85,472,d0329a58386877c634796f5115aa3bb6ed9564a83acbb84b0c9578cf1d0c5b02,1
s1,ML-KEM-1024,21,3180752,4078801,19881,25493,116877,68656,28718,70303,15995916,8763760,-23,0,8dda0b99e56ab304ef22bf4e3af3a62827127fcded44979acafaed3841227b50,1572,1572,58,218788,213548,10820,38.82,2038,8dda0b99e56ab304ef22bf4e3af3a62827127fcded44979acafaed3841227b50,1
s1,ML-KEM-1024,22,3073432,4072158,19212,25452,120012,72772,4116,71543,16008470,8765019,-22,0,ec45bcef9a02140d795e7d5549b5775b1acd5786073710e3c28d7647fb31f261,1572,1572,58,218788,213548,10820,37.22,2039,ec45bcef9a02140d795e7d5549b5775b1acd5786073710e3c28d7647fb31f261,1
s1,ML-KEM-1024,23,3073164,4074005,19209,25464,126070,78432,5660,76202,16005955,8736815,-21,0,889c7e7ace2ab21ab2254eedbf703e17097cd704e7da07e0ce69dca08d7c7362,1572,1572,58,218788,213548,10820,35.44,2126,889c7e7ace2ab21ab2254eedbf703e17097cd704e7da07e0ce69dca08d7c7362,1
s1,ML-KEM-1024,24,3073758,4281284,19213,26759,119442,72326,6106,71326,16000321,8708736,-22,0,c5c68663103669821761214ce0ee289fc6943943de51de90c8093408a6005962,1572,1572,58,218780,213548,10820,38.49,2233,c5c68663103669821761214ce0ee289fc6943943de51de90c8093408a6005962,1
s1,ML-KEM-1024,25,3074438,4077507,19219,25486,114034,66443,5883,67206,16005586,8689416,-22,0,9578b981df20cb282b68c721b29b51ae7edc614af4f94d2590baa78a609309e1,1572,1572,58,218776,213548,10820,39.20,2247,9578b981df20cb282b68c721b29b51ae7edc614af4f94d2590baa78a609309e1,1
s1,ML-KEM-1024,26,3074898,4078572,19220,25492,113314,65840,603,66908,16012080,8724981,-21,0,e2dbbecfa81632d8042ec666cfe511c2de9b8b93dcb99c0c9a6143164eb2c59f,1572,1572,58,218776,213548,10820,39.46,2291,e2dbbecfa81632d8042ec666cfe511c2de9b8b93dcb99c0c9a6143164eb2c59f,1
s1,ML-KEM-1024,27,3072140,4079114,19203,25495,112699,65335,505,67291,16013720,8726286,-22,0,cbcbec00a25c3e46d0e50c165ce8876cee418f88e07203010124d07c2e318714,1572,1572,58,218776,213548,10820,39.66,2077,cbcbec00a25c3e46d0e50c165ce8876cee418f88e07203010124d07c2e318714,1
s1,ML-KEM-1024,28,3197022,4189551,19985,26185,108895,62629,2706,65183,16011342,8748839,-21,0,6f92eed11ad511de625b07cfec8337bf6ee2b42c96094b2ca516fc2cf118ccd9,1572,1572,58,218776,213548,10820,42.40,849,6f92eed11ad511de625b07cfec8337bf6ee2b42c96094b2ca516fc2cf118ccd9,1
s1,ML-KEM-1024,29,3072848,4071828,19207,25450,112828,65284,2655,66647,16018529,8732165,-22,0,ccb6b0f73d76511abbac2739254a392c929fcbc574902cbf26336def0ed653ae,1572,1572,58,218780,213548,10820,39.58,2068,ccb6b0f73d76511abbac2739254a392c929fcbc574902cbf26336def0ed653ae,1
s1,ML-KEM-1024,30,3074708,4091967,19219,25575,120070,72398,7114,72229,16012473,8705705,-21,0,bbffca2d981ea297dda12ff1b6c2da310426ae1ad77b377e31ec5061b1bdc7fa,1572,1572,58,218780,213548,10820,37.31,2048,bbffca2d981ea297dda12ff1b6c2da310426ae1ad77b377e31ec5061b1bdc7fa,1
s1,ML-KEM-1024,31,3073848,4290463,19214,26817,119567,72405,7,71872,16004716,8755675,-22,0,9ea644aad6ef4f5ed4d9547ac7a237bdb0365676ae50de120edf6e5a96dd568c,1572,1572,58,218780,213548,10820,38.50,2088,9ea644aad6ef4f5ed4d9547ac7a237bdb0365676ae50de120edf6e5a96dd568c,1
s1,ML-KEM-1024,32,3073082,4074202,19209,25465,120990,73398,993,71515,16006865,8766514,-22,0,8a1228c081103a7596678c57c19939188d0b854364f14e411d3e0d4340ae78bb,1572,1572,58,218776,213548,10820,36.92,2039,8a1228c081103a7596678c57c19939188d0b854364f14e411d3e0d4340ae78bb,1
s1,ML-KEM-1024,33,3095518,4129706,19349,25813,115310,67324,6074,67956,16004647,8757986,-22,0,cf98edef0e491d87b76eb5916396a2ac86d63412622ecf73a202befe040d213f,1572,1572,58,218780,213548,10820,39.17,2074,cf98edef0e491d87b76eb5916396a2ac86d63412622ecf73a202befe040d213f,1
s1,ML-KEM-1024,34,3074250,4212354,19217,26328,111904,66274,1050,66169,16010506,8751943,-22,0,94983a2ab25d3441f6191c7985344e6513aa73a2fdb245fdcf8e9dcf53a61daa,1572,1572,58,218776,213548,10820,40.70,2052,94983a2ab25d3441f6191c7985344e6513aa73a2fdb245fdcf8e9dcf53a61daa,1
s1,ML-KEM-1024,35,3073678,4083749,19213,25524,117192,69642,3368,69597,15992501,8730923,-22,0,1ed05ed5b5bacf9bcc4823ea805a09d5494e42d73073b7ad8ab91f595874eaad,1572,1572,58,218776,213548,10820,38.17,2114,1ed05ed5b5bacf9bcc4823ea805a09d5494e42d73073b7ad8ab91f595874eaad,1
s1,ML-KEM-1024,36,3073242,4076444,19210,25479,111928,64428,5214,67603,16029392,8756292,-22,0,ebbe95f217750e9f03f94cbc85dc8ea90fa1d39c360841f250395c09456147a8,1572,1572,58,218776,213548,10820,39.93,486,ebbe95f217750e9f03f94cbc85dc8ea90fa1d39c360841f250395c09456147a8,1
s1,ML-KEM-1024,37,3085400,4070728,19286,25443,117926,70353,5925,70750,16014695,8777393,-22,0,9bc8e88746fdb075c3aba932a81dadc2aae9d7462b9b172413988cae9e7d7388,1572,1572,58,218784,213548,10820,37.93,2049,9bc8e88746fdb075c3aba932a81dadc2aae9d7462b9b172413988cae9e7d7388,1
s1,ML-KEM-1024,38,3067460,4279126,19173,26746,112973,65882,4471,67093,16008673,8770572,-22,0,918893336ccec9ef07125520180ff74c082fdc9d6bad761d81043fcc21f5c420,1572,1572,58,218784,213548,10820,40.65,2058,918893336ccec9ef07125520180ff74c082fdc9d6bad761d81043fcc21f5c420,1
s1,ML-KEM-1024,39,3089800,4306459,19313,26917,112659,65312,570,66657,16012696,8762445,-22,0,ac1887464aaead319ccc39cb3f3a04055326316754907dae448676185e1054dc,1572,1572,58,218784,213548,10820,41.04,2084,ac1887464aaead319ccc39cb3f3a04055326316754907dae448676185e1054dc,1
s1,ML-KEM-1024,40,3075924,4094563,19226,25593,113335,65754,442,67984,16013964,8769719,-22,0,3b1d11bea43479f4519efa7f7b9e95da09b6043975f94d8e2e793c47637cef84,1572,1572,58,218776,213548,10820,39.55,2050,3b1d11bea43479f4519efa7f7b9e95da09b6043975f94d8e2e793c47637cef84,1
s1,ML-KEM-1024,41,3074034,4071939,19217,25451,114139,66640,886,67932,16012653,8762074,-22,0,fa5d19a6fc1fb90e28dfd7e07e4bca18d607b1de057dedd332ce152b5ed2681c,1572,1572,58,218776,213548,10820,39.13,4220,fa5d19a6fc1fb90e28dfd7e07e4bca18d607b1de057dedd332ce152b5ed2681c,1
s1,ML-KEM-1024,42,3187136,4280569,19922,26755,112510,64720,1920,67666,15987139,8748417,-22,0,410b30f8346809120037a931a5b8ffc3901298a387834edea64fe1a9e9ca8b49,1572,1572,58,218780,213548,10820,41.49,2071,410b30f8346809120037a931a5b8ffc3901298a387834edea64fe1a9e9ca8b49,1
s1,ML-KEM-1024,43,3091394,4214217,19325,26340,118058,72296,7576,72045,16039295,8787363,-22,0,208ea09a663cd2118b41627f2a4d42174f940770e5c18bd8e75518a325099876,1572,1572,58,218776,213548,10820,38.68,2095,208ea09a663cd2118b41627f2a4d42174f940770e5c18bd8e75518a325099876,1
s1,ML-KEM-1024,44,3073892,4190815,19216,26193,111080,65571,6725,67195,16007116,8767366,-22,0,c65e10728f56e2a0e402489be52e2f3f133f7c7a40853bbef031b4f8828218d3,1572,1572,58,218776,213548,10820,40.88,2047,c65e10728f56e2a0e402489be52e2f3f133f7c7a40853bbef031b4f8828218d3,1
s1,ML-KEM-1024,45,3072946,4253007,19209,26582,115317,69426,3855,69709,16017279,8744056,-22,0,6b46eb1ab603fe51f61a14db6a6cc6f5a6f4493c0fb101e3131e3bd9a1d3cf08,1572,1572,58,218776,213548,10820,39.71,2050,6b46eb1ab603fe51f61a14db6a6cc6f5a6f4493c0fb101e3131e3bd9a1d3cf08,1
s1,ML-KEM-1024,46,3073192,4070455,19210,25441,120238,72778,3352,71224,15989248,8765875,-22,0,05ee65c1ee7e5e04ec576e33bb59791758716e4e0e22b69c5ea4457e1495049e,1572,1572,58,218776,213548,10820,37.14,4474,05ee65c1ee7e5e04ec576e33bb59791758716e4e0e22b69c5ea4457e1495049e,1
s1,ML-KEM-1024,47,3073734,4083607,19215,25524,124509,77020,4242,74978,16025562,8738007,-22,0,204797466c284002a88b1914c8cfb5e9288037b0ab56f2d6d81cb9c132fb8482,1572,1572,58,218776,213548,10820,35.93,2110,204797466c284002a88b1914c8cfb5e9288037b0ab56f2d6d81cb9c132fb8482,1
s1,ML-KEM-1024,48,3096454,4129668,19355,25812,127205,79177,2157,75756,16000221,8756034,-22,0,fb0ba920e3d9bce1ca794230c1809e4df259f83b93cc8c1249b960d097c80d4f,1572,1572,58,218776,213548,10820,35.51,2072,fb0ba920e3d9bce1ca794230c1809e4df259f83b93cc8c1249b960d097c80d4f,1
s1,ML-KEM-1024,49,3074108,4078308,19215,25490,116775,69394,9783,70331,15986737,8686737,-22,0,ac9ad5490043256b9e04bf1d1a0a74bdae2472c6c7437d594379106d4f1cea83,1572,1572,58,218776,213548,10820,38.28,2050,ac9ad5490043256b9e04bf1d1a0a74bdae2472c6c7437d594379106d4f1cea83,1
s1,ML-KEM-1024,50,3095204,4095560,19347,25598,118121,70264,870,70783,16019370,8701141,-22,0,e47ca917d0b24840cac5390009f43618759970054718509d7c5816c8be8ef39e,1572,1572,58,218776,213548,10820,38.05,2077,e47ca917d0b24840cac5390009f43618759970054718509d7c5816c8be8ef39e,1
s1,ML-KEM-1024,51,3073598,4073255,19212,25459,114150,66652,3612,67076,15995306,8687746,-22,0,52192999c804de142e342c6e8a10c807a5ec4cd3366bdfe4990e327be52a1b63,1572,1572,58,218780,213548,10820,39.13,2166,52192999c804de142e342c6e8a10c807a5ec4cd3366bdfe4990e327be52a1b63,1
s1,ML-KEM-1024,52,3076414,4093839,19230,25587,117502,69847,3195,68753,15986816,8660007,-22,0,b8452ca3e568ac751ce83b558d8e391057ce3ef47ebd2d198c1c8956c32d2b88,1572,1572,58,218780,213548,10820,38.14,2142,b8452ca3e568ac751ce83b558d8e391057ce3ef47ebd2d198c1c8956c32d2b88,1
s1,ML-KEM-1024,53,3187862,4078018,19927,25489,126332,78183,8336,74968,16047236,8689104,-22,0,86861f04c320538ac4b013de87939c34a95575c6b4a8d4edd7ffeed84e30594a,1572,1572,58,218776,213548,10820,35.95,3511,86861f04c320538ac4b013de87939c34a95575c6b4a8d4edd7ffeed84e30594a,1
s1,ML-KEM-1024,54,3095110,4096448,19346,25603,118140,70292,7891,69380,15997744,8677738,-22,0,ce62c121683bf394b7f009a2b1cb8b875831b175194101b1dca1e81a9e5cf7b5,1572,1572,58,218776,213548,10820,38.05,3044,ce62c121683bf394b7f009a2b1cb8b875831b175194101b1dca1e81a9e5cf7b5,1
s1,ML-KEM-1024,55,3072622,4073544,19206,25460,117959,70403,111,69601,16110399,8707636,-22,0,85bfb4914b5c06166fc5d7571b33b2cf6bbc4e5decf63a580e1887c43e5cbbdd,1572,1572,58,218776,213548,10820,37.87,2068,85bfb4914b5c06166fc5d7571b33b2cf6bbc4e5decf63a580e1887c43e5cbbdd,1
s1,ML-KEM-1024,56,3075542,4316151,19224,26977,114025,66833,3570,69156,15990935,8706689,-22,0,17eb2bebdd9e3413fcd27d9521d73103dff07d8bd64fb78a733a1f060f5e93f6,1572,1572,58,218776,213548,10820,40.52,540,17eb2bebdd9e3413fcd27d9521d73103dff07d8bd64fb78a733a1f060f5e93f6,1
