scenario,variant,iter,keygen_cycles,decaps_cycles,keygen_us,decaps_us,handshake_us,net_latency_us,jitter_us,energy_uj,reconnect_us,reconnect_energy_uj,rssi_dbm,packet_loss,ss_dec_hex,pub_bytes,ct_bytes,overhead_bytes,heap_free,heap_min,stack_hwm_bytes,cpu_util_percent,encaps_us,ss_enc_hex,ss_valid
s1,ML-KEM-512,0,1682380,2004725,10518,12530,41036,17908,0,25284,0,0,-22,0,b531f62025879519eb637f74ba9777f07246bf01a4864ef4f8a145116068f9e4,804,772,58,225212,222536,21892,56.17,1402,b531f62025879519eb637f74ba9777f07246bf01a4864ef4f8a145116068f9e4,1
s1,ML-KEM-512,1,1277710,1867197,7988,11671,56538,34177,16269,32982,0,0,-22,0,c92e7e32f998fcc41590e3fcf2bed83f1740705ada97bb95b675aca649364d5b,804,772,58,224988,220540,21892,34.77,615,c92e7e32f998fcc41590e3fcf2bed83f1740705ada97bb95b675aca649364d5b,1
s1,ML-KEM-512,2,1304154,1998071,8152,12489,51635,30914,3263,30057,0,0,-22,0,3e95e2417ec8df88838303586c2e69266e8fe6dc3bf80c9dcea1c69ce0fe78e7,804,772,58,224988,220540,21892,39.97,486,3e95e2417ec8df88838303586c2e69266e8fe6dc3bf80c9dcea1c69ce0fe78e7,1
s1,ML-KEM-512,3,1277887,2036151,7989,12727,57231,36435,5521,33473,0,0,-22,0,51061142fee58c3cf9ba76ecdc3b085f2d5aecc74b386e763ded469c58c76d26,804,772,58,224988,220540,21892,36.20,530,51061142fee58c3cf9ba76ecdc3b085f2d5aecc74b386e763ded469c58c76d26,1
s1,ML-KEM-512,4,1275308,2020734,7972,12630,53147,32465,3970,31870,0,0,-22,0,7565718f36194d2d32559e19282899ed974693e9e4d375cca3f73c7695fa2348,804,772,58,224988,220540,21892,38.76,583,7565718f36194d2d32559e19282899ed974693e9e4d375cca3f73c7695fa2348,1
s1,ML-KEM-512,5,1276760,1864238,7982,11653,56788,34471,2006,32783,0,0,-22,0,466852d0efa95efc7edf87a0de311d4fe2d7a485974048d8e9eeb296a2da4086,804,772,58,224988,220540,21892,34.58,534,466852d0efa95efc7edf87a0de311d4fe2d7a485974048d8e9eeb296a2da4086,1
s1,ML-KEM-512,6,1278572,2005974,7993,12539,53694,33083,1388,31987,0,0,-22,0,6c9b42b9a0e2955a1422c02f9f5cd8384a0c11f6fca322f730eecc8acb2b5063,804,772,58,224988,220540,21892,38.24,911,6c9b42b9a0e2955a1422c02f9f5cd8384a0c11f6fca322f730eecc8acb2b5063,1
s1,ML-KEM-512,7,1274834,1873428,7970,11710,56908,34486,1403,33362,0,0,-22,0,670229e4ad96b5d023256cf7f7e8c11de5f6f382f3502060b6912f253f6d397f,804,772,58,224988,220540,21892,34.58,805,670229e4ad96b5d023256cf7f7e8c11de5f6f382f3502060b6912f253f6d397f,1
s1,ML-KEM-512,8,1275608,2013165,7975,12584,59553,38910,4424,35547,0,0,-22,0,42b83697b151e2e25d85c7ad6ca8b575c4a597e318acddde74ad00bf108a2cd2,804,772,58,224988,220540,21892,34.52,1654,42b83697b151e2e25d85c7ad6ca8b575c4a597e318acddde74ad00bf108a2cd2,1
s1,ML-KEM-512,9,1277658,1863200,7988,11646,61896,39720,810,36081,0,0,-22,0,ec7c47eaaf524c11157b6e71a16e3c45f1aae2d9d3e9a8d3ee04d2cfbc4f1498,804,772,58,224988,220540,21892,31.72,3106,ec7c47eaaf524c11157b6e71a16e3c45f1aae2d9d3e9a8d3ee04d2cfbc4f1498,1
