scenario,variant,iter,keygen_cycles,decaps_cycles,keygen_us,decaps_us,handshake_us,net_latency_us,jitter_us,energy_uj,reconnect_us,reconnect_energy_uj,rssi_dbm,packet_loss,ss_dec_hex,pub_bytes,ct_bytes,overhead_bytes,heap_free,heap_min,stack_hwm_bytes,cpu_util_percent,encaps_us,ss_enc_hex,ss_valid
s1,ML-KEM-512,0,1693782,1772580,10589,11080,40553,16384,0,24781,0,0,-19,0,e5439205ce75d3987e90c317f1c064efa98f994927a6a321d86c9945f28e591c,804,772,58,225220,222556,21876,53.43,1269,e5439205ce75d3987e90c317f1c064efa98f994927a6a321d86c9945f28e591c,1
s1,ML-KEM-512,1,1234927,1768743,7719,11056,57824,36310,19926,33555,0,0,-19,0,28661c6edce51d405b075f304554d401ec0e8985549abda1fb9cb501d0966535,804,772,58,225008,220540,21876,32.47,1181,28661c6edce51d405b075f304554d401ec0e8985549abda1fb9cb501d0966535,1
s1,ML-KEM-512,2,1233599,1932540,7711,12079,57320,37441,1131,32452,0,0,-19,0,e5291a564fbdc5b14822160c8236f95abfcd4531761ea10e44882572734adc00,804,772,58,225008,220540,21876,34.53,2159,e5291a564fbdc5b14822160c8236f95abfcd4531761ea10e44882572734adc00,1
s1,ML-KEM-512,3,1232612,1770987,7705,11072,57492,36003,1438,32924,0,0,-19,0,ebc1c5d54672023fd8a506c575eb650eb64c28ccfe5589cacae7e3c78e18aa4a,804,772,58,225008,220540,21876,32.66,988,ebc1c5d54672023fd8a506c575eb650eb64c28ccfe5589cacae7e3c78e18aa4a,1
s1,ML-KEM-512,4,1233949,1952808,7714,12206,56365,36358,355,32794,0,0,-19,0,362d7ba9ae82ba60d5eceaa2c9eee2b3f26c50307a86d6db5f58730d2693fd7a,804,772,58,225008,220540,21876,35.34,656,362d7ba9ae82ba60d5eceaa2c9eee2b3f26c50307a86d6db5f58730d2693fd7a,1
s1,ML-KEM-512,5,1231906,1773099,7700,11083,61183,39671,3313,35185,0,0,-19,0,6be26816a47507e5f4a6a8e1870add2c04c2dbb7fb7e49a1796c1f95372a24cc,804,772,58,225008,220540,21876,30.70,3102,6be26816a47507e5f4a6a8e1870add2c04c2dbb7fb7e49a1796c1f95372a24cc,1
s1,ML-KEM-512,6,1233581,1768881,7710,11056,53739,32425,7246,31393,0,0,-19,0,79d9cf3b9298a2c22b69cc5dced2a73738cbf03bf1afc5fedbf5f55194dd36fc,804,772,58,225008,220540,21876,34.92,296,79d9cf3b9298a2c22b69cc5dced2a73738cbf03bf1afc5fedbf5f55194dd36fc,1
s1,ML-KEM-512,7,1233121,1800928,7708,11257,57368,35846,3421,33718,0,0,-19,0,a61b532b81e76e5b4bea542f1cba41f8cd3cc2e2c586ee8531ca2bcf3d28f0ec,804,772,58,225008,220540,21844,33.06,613,a61b532b81e76e5b4bea542f1cba41f8cd3cc2e2c586ee8531ca2bcf3d28f0ec,1
s1,ML-KEM-512,8,1230985,1926672,7695,12042,53097,33272,2574,31332,0,0,-19,0,e88e25ec7f270bf34644c7adbb6cdcad039673a0a8c023eff65421a4d725c8c0,804,772,58,225004,220540,21844,37.17,313,e88e25ec7f270bf34644c7adbb6cdcad039673a0a8c023eff65421a4d725c8c0,1
s1,ML-KEM-512,9,1232931,1772251,7707,11078,59829,38223,4951,34203,0,0,-19,0,0a14a2b8fca69d800dc55269e88a34be83f9fd886eab5d19825e2195be6c45e2,804,772,58,225004,220540,21844,31.40,493,0a14a2b8fca69d800dc55269e88a34be83f9fd886eab5d19825e2195be6c45e2,1
s1,ML-KEM-512,10,1254377,1946826,7841,12169,53681,33579,4644,31626,0,0,-19,0,f36602ad94d954f4d507f96947760435fd71d1cbc92881a3ef26c862b0ca0cd4,804,772,58,225004,220540,21844,37.28,766,f36602ad94d954f4d507f96947760435fd71d1cbc92881a3ef26c862b0ca0cd4,1
s1,ML-KEM-512,11,1232389,1832475,7704,11456,56474,34614,1035,32868,0,0,-19,0,ac07a4abda0ab3130cb38669a8df6704060f958d71b4a0ae0c210f2eb4e98a3b,804,772,58,225004,220540,21844,33.93,569,ac07a4abda0ab3130cb38669a8df6704060f958d71b4a0ae0c210f2eb4e98a3b,1
s1,ML-KEM-512,12,1230933,1944826,7694,12156,52264,32326,2288,30498,0,0,-19,0,a21466666e686640cbc8cf4fee3084f36ed181bb835ddd1388e31558ec11a6a2,804,772,58,225004,220540,21844,37.98,587,a21466666e686640cbc8cf4fee3084f36ed181bb835ddd1388e31558ec11a6a2,1
s1,ML-KEM-512,13,1230776,1771036,7695,11070,59257,37632,5306,34609,0,0,-19,0,7baabd1ce113e6e9988a2d72abf2f67b14343c845ead6a68f04671a2d64ea9c5,804,772,58,225004,220540,21844,31.67,955,7baabd1ce113e6e9988a2d72abf2f67b14343c845ead6a68f04671a2d64ea9c5,1
s1,ML-KEM-512,14,1231295,1925562,7696,12035,57184,37371,261,33263,0,0,-19,0,29105ae74d5908644cefe5350fa63dd788d80322bca7982e50cfd3fa550f8920,804,772,58,225004,220540,21844,34.50,2217,29105ae74d5908644cefe5350fa63dd788d80322bca7982e50cfd3fa550f8920,1
s1,ML-KEM-512,15,1233415,1767020,7710,11045,55847,34334,3037,32142,0,0,-19,0,3a4ffbd37d04dfc0c9560ba87afbaad7a98d2b1c63a21d5f3aa83007599bee55,804,772,58,225004,220540,21844,33.58,342,3a4ffbd37d04dfc0c9560ba87afbaad7a98d2b1c63a21d5f3aa83007599bee55,1
s1,ML-KEM-512,16,1231646,1924299,7699,12028,52012,32198,2136,30502,0,0,-19,0,b61d7b9a212717409e246612945c6ef5805c95b41a97dbc6b578468a25a29293,804,772,58,225004,220540,21844,37.93,242,b61d7b9a212717409e246612945c6ef5805c95b41a97dbc6b578468a25a29293,1
s1,ML-KEM-512,17,1337340,1769956,8362,11063,59778,37653,5455,35535,0,0,-19,0,cca6a6b718ba78174105fa6e2518a20e1017e7df4a3babc89862faf21ef983c4,804,772,58,225004,220540,21844,32.50,494,cca6a6b718ba78174105fa6e2518a20e1017e7df4a3babc89862faf21ef983c4,1
s1,ML-KEM-512,18,1230736,1933194,7693,12083,54501,34634,3019,31920,0,0,-19,0,e1fae07a11831d7edb69613a6a662bd6ecb58d4e82512b571bc8e06c5ff26ccb,804,772,58,225004,220540,21844,36.29,276,e1fae07a11831d7edb69613a6a662bd6ecb58d4e82512b571bc8e06c5ff26ccb,1
s1,ML-KEM-512,19,1231391,1988024,7697,12426,56546,35343,709,32691,0,0,-19,0,e1cd1965037b6db9777b22826ee7a79e454aaed30419061d53a33bff5dce4ee8,804,772,58,225004,220540,21844,35.59,298,e1cd1965037b6db9777b22826ee7a79e454aaed30419061d53a33bff5dce4ee8,1
s1,ML-KEM-512,20,1231657,1932504,7699,12079,54381,34517,826,32290,0,0,-19,0,7d47598497d0cb5db09faa66da4e35bb80e37287411483f3da0ecdd5b7749ea5,804,772,58,225004,220540,21844,36.37,551,7d47598497d0cb5db09faa66da4e35bb80e37287411483f3da0ecdd5b7749ea5,1
s1,ML-KEM-512,21,1232776,1780387,7706,11129,60339,38954,4437,35498,0,0,-19,0,98006257e98f94531d678680960868c0ab29b7cddeff1224d771b9dd1106c73b,804,772,58,225004,220540,21844,31.22,982,98006257e98f94531d678680960868c0ab29b7cddeff1224d771b9dd1106c73b,1
s1,ML-KEM-512,22,1246795,1765189,7793,11034,56763,35357,3597,32573,0,0,-19,0,6c05d6ee83d6698f69c7704ee4e6ab5362e87362308902b10678f49434b356aa,804,772,58,225004,220540,21844,33.17,621,6c05d6ee83d6698f69c7704ee4e6ab5362e87362308902b10678f49434b356aa,1
s1,ML-KEM-512,23,1232751,1807313,7706,11297,55675,33986,1371,32646,0,0,-19,0,4849610d0e0a9ba99e62f2319d7145d701cae5b1bf319c87cc41b3e945d6e298,804,772,58,225004,220540,21844,34.13,456,4849610d0e0a9ba99e62f2319d7145d701cae5b1bf319c87cc41b3e945d6e298,1
s1,ML-KEM-512,24,1230547,1928796,7691,12056,52128,32293,1693,31364,0,0,-19,0,f5cd63663a8861fb30b7fbb2aa6dc79483565d777469b4ad1d4449a14e8eac53,804,772,58,225004,220540,21844,37.88,791,f5cd63663a8861fb30b7fbb2aa6dc79483565d777469b4ad1d4449a14e8eac53,1
s1,ML-KEM-512,25,1231914,1771390,7701,11072,58188,36740,4447,33561,0,0,-19,0,47f03a13b3959beaf8eea20e79c68402e18234ffcc1d5bd99d7c0be14b1b24bc,804,772,58,225004,220540,21844,32.26,441,47f03a13b3959beaf8eea20e79c68402e18234ffcc1d5bd99d7c0be14b1b24bc,1
s1,ML-KEM-512,26,1232505,1779889,7704,11125,54154,32758,3982,31029,0,0,-19,0,8eceae7377cb57dfc83274aabded6b136c324fb33620a9256a9c305532aa8fe2,804,772,58,225004,220540,21844,34.77,648,8eceae7377cb57dfc83274aabded6b136c324fb33620a9256a9c305532aa8fe2,1
s1,ML-KEM-512,27,1232063,1770349,7701,11066,60701,39235,6477,35125,0,0,-19,0,1d66b920c6b123045818b8f34ed67748ab2370379f30f06a2cd2ef4729006f92,804,772,58,225004,220540,21844,30.92,1032,1d66b920c6b123045818b8f34ed67748ab2370379f30f06a2cd2ef4729006f92,1
s1,ML-KEM-512,28,1230864,1768680,7693,11055,59573,38284,951,34633,0,0,-19,0,4523c79551fb188db4ef4117d696098b14ab75c646c141bd3406de1920442453,804,772,58,225004,220540,21844,31.47,619,4523c79551fb188db4ef4117d696098b14ab75c646c141bd3406de1920442453,1
