scenario,variant,iter,op,cycles,time_us,energy_uj,heap_free,heap_min,stack_hwm_bytes
s2,ML-KEM-512,0,keygen,1247005,7795,1916,348192,346636,22412
s2,ML-KEM-512,0,encaps,1496255,9353,2369,348192,346636,22412
s2,ML-KEM-512,0,decaps,1811044,11320,3105,348192,346636,22364
s2,ML-KEM-512,1,keygen,1258387,7867,2037,348192,346636,22364
s2,ML-KEM-512,1,encaps,1489869,9312,2621,348192,346636,22364
s2,ML-KEM-512,1,decaps,1812302,11328,3063,348192,346636,22364
s2,ML-KEM-512,2,keygen,1254999,7846,2072,348192,346636,22364
s2,ML-KEM-512,2,encaps,1489439,9310,2311,348192,346636,22364
s2,ML-KEM-512,2,decaps,1813142,11333,3026,348192,346636,22364
s2,ML-KEM-512,3,keygen,1277557,7987,1896,348192,346636,22364
s2,ML-KEM-512,3,encaps,1514699,9468,2453,348192,346636,22364
s2,ML-KEM-512,3,decaps,1832033,11451,3061,348192,346636,22364
s2,ML-KEM-512,4,keygen,1254708,7843,1747,348192,346636,22364
s2,ML-KEM-512,4,encaps,1488015,9301,2419,348192,346636,22364
s2,ML-KEM-512,4,decaps,1811852,11325,3174,348192,346636,22364
s2,ML-KEM-512,5,keygen,1256019,7852,2376,348192,346636,22364
s2,ML-KEM-512,5,encaps,1490009,9314,2634,348192,346636,22364
s2,ML-KEM-512,5,decaps,1810990,11320,2966,348192,346636,22364
s2,ML-KEM-512,6,keygen,1258249,7866,2028,348192,346636,22364
s2,ML-KEM-512,6,encaps,1488805,9306,2661,348192,346636,22364
s2,ML-KEM-512,6,decaps,1811806,11324,3085,348192,346636,22364
s2,ML-KEM-512,7,keygen,1255215,7847,2309,348192,346636,22364
s2,ML-KEM-512,7,encaps,1491943,9325,2515,348192,346636,22364
s2,ML-KEM-512,7,decaps,1811130,11321,3085,348192,346636,22364
s2,ML-KEM-512,8,keygen,1258005,7864,1919,348192,346636,22364
s2,ML-KEM-512,8,encaps,1490383,9316,2570,348192,346636,22364
s2,ML-KEM-512,8,decaps,1812454,11329,3087,348192,346636,22364
s2,ML-KEM-512,9,keygen,1255923,7852,1923,348192,346636,22364
s2,ML-KEM-512,9,encaps,1488597,9305,2405,348192,346636,22364
s2,ML-KEM-512,9,decaps,1810938,11319,3081,348192,346636,22364
s2,ML-KEM-512,10,keygen,1254639,7844,2014,348192,346636,22364
s2,ML-KEM-512,10,encaps,1489263,9308,2670,348192,346636,22364
s2,ML-KEM-512,10,decaps,1812546,11330,3059,348192,346636,22364
s2,ML-KEM-512,11,keygen,1255161,7847,2081,348192,346636,22364
s2,ML-KEM-512,11,encaps,1489629,9311,2369,348192,346636,22364
s2,ML-KEM-512,11,decaps,1810628,11317,3004,348192,346636,22364
s2,ML-KEM-512,12,keygen,1255903,7851,2059,348192,346636,22364
s2,ML-KEM-512,12,encaps,1489065,9308,2275,348192,346636,22364
s2,ML-KEM-512,12,decaps,1812594,11330,3024,348192,346636,22364
s2,ML-KEM-512,13,keygen,1251838,7826,1811,348192,346636,22364
s2,ML-KEM-512,13,encaps,1489931,9313,2495,348192,346636,22364
s2,ML-KEM-512,13,decaps,1809160,11308,3027,348192,346636,22364
s2,ML-KEM-512,14,keygen,1255105,7846,1849,348192,346636,22364
s2,ML-KEM-512,14,encaps,1487093,9295,2531,348192,346636,22364
s2,ML-KEM-512,14,decaps,1810632,11317,2980,348192,346636,22364
s2,ML-KEM-512,15,keygen,1254265,7841,1938,348192,346636,22364
s2,ML-KEM-512,15,encaps,1489767,9312,2562,348192,346636,22364
s2,ML-KEM-512,15,decaps,1811036,11320,2895,348192,346636,22364
s2,ML-KEM-512,16,keygen,1253527,7836,1902,348192,346636,22364
s2,ML-KEM-512,16,encaps,1489527,9310,2532,348192,346636,22364
s2,ML-KEM-512,16,decaps,1809144,11308,2971,348192,346636,22364
s2,ML-KEM-512,17,keygen,1253419,7836,1916,348192,346636,22364
s2,ML-KEM-512,17,encaps,1489352,9309,2498,348192,346636,22364
s2,ML-KEM-512,17,decaps,1809648,11311,3038,348192,346636,22364
s2,ML-KEM-512,18,keygen,1252643,7831,1827,348192,346636,22364
s2,ML-KEM-512,18,encaps,1490476,9316,2517,348192,346636,22364
s2,ML-KEM-512,18,decaps,1811258,11321,3040,348192,346636,22364
s2,ML-KEM-512,19,keygen,1258663,7869,2416,348192,346636,22364
s2,ML-KEM-512,19,encaps,1491106,9321,2653,348192,346636,22364
s2,ML-KEM-512,19,decaps,1812149,11327,3137,348192,346636,22364
s2,ML-KEM-512,20,keygen,1257855,7863,2063,348192,346636,22364
s2,ML-KEM-512,20,encaps,1492247,9328,2690,348192,346636,22364
s2,ML-KEM-512,20,decaps,1812146,11327,3150,348192,346636,22364
s2,ML-KEM-512,21,keygen,1253737,7838,2086,348192,346636,22364
s2,ML-KEM-512,21,encaps,1488475,9304,2401,348192,346636,22364
s2,ML-KEM-512,21,decaps,1812525,11330,3096,348192,346636,22364
s2,ML-KEM-512,22,keygen,1255907,7851,2008,348192,346636,22364
s2,ML-KEM-512,22,encaps,1489560,9311,2307,348192,346636,22364
s2,ML-KEM-512,22,decaps,1811736,11324,3085,348192,346636,22364
s2,ML-KEM-512,23,keygen,1253707,7838,1871,348192,346636,22364
s2,ML-KEM-512,23,encaps,1487657,9299,2526,348192,346636,22364
s2,ML-KEM-512,23,decaps,1810920,11319,3095,348192,346636,22364
s2,ML-KEM-512,24,keygen,1254143,7841,1852,348192,346636,22364
s2,ML-KEM-512,24,encaps,1488759,9305,2574,348192,346636,22364
s2,ML-KEM-512,24,decaps,1810442,11317,3017,348192,346636,22364
s2,ML-KEM-512,25,keygen,1254550,7842,1901,348192,346636,22364
s2,ML-KEM-512,25,encaps,1488187,9302,2454,348192,346636,22364
s2,ML-KEM-512,25,decaps,1814686,11343,3111,348192,346636,22364
s2,ML-KEM-512,26,keygen,1257289,7860,2385,348192,346636,22364
s2,ML-KEM-512,26,encaps,1491773,9324,2605,348192,346636,22364
s2,ML-KEM-512,26,decaps,1811775,11324,3124,348192,346636,22364
s2,ML-KEM-512,27,keygen,1253779,7839,1964,348192,346636,22364
s2,ML-KEM-512,27,encaps,1489531,9311,2611,348192,346636,22364
s2,ML-KEM-512,27,decaps,1812702,11331,3180,348192,346636,22364
s2,ML-KEM-512,28,keygen,1256197,7853,1988,348192,346636,22364
s2,ML-KEM-512,28,encaps,1489060,9308,2416,348192,346636,22364
s2,ML-KEM-512,28,decaps,1811543,11324,3163,348192,346636,22364
s2,ML-KEM-512,29,keygen,1253569,7837,2061,348192,346636,22364
s2,ML-KEM-512,29,encaps,1490365,9316,2722,348192,346636,22364
s2,ML-KEM-512,29,decaps,1812106,11327,3099,348192,346636,22364
s2,ML-KEM-512,30,keygen,1277945,7989,2124,348192,346636,22364
s2,ML-KEM-512,30,encaps,1513481,9461,2703,348192,346636,22364
s2,ML-KEM-512,30,decaps,1833814,11462,3036,348192,346636,22364
s2,ML-KEM-512,31,keygen,1253801,7838,1995,348192,346636,22364
