scenario,variant,iter,op,cycles,time_us,energy_uj,heap_free,heap_min,stack_hwm_bytes
s2,ML-KEM-512,0,keygen,1203017,7521,1786,348192,346636,22412
s2,ML-KEM-512,0,encaps,1431868,8953,2532,348192,346636,22412
s2,ML-KEM-512,0,decaps,1724940,10782,3038,348192,346636,22380
s2,ML-KEM-512,1,keygen,1211381,7573,1886,348192,346636,22380
s2,ML-KEM-512,1,encaps,1431108,8948,2629,348192,346636,22380
s2,ML-KEM-512,1,decaps,1729148,10808,3163,348192,346636,22380
s2,ML-KEM-512,2,keygen,1211361,7573,1996,348192,346636,22380
s2,ML-KEM-512,2,encaps,1427267,8925,2371,348192,346636,22380
s2,ML-KEM-512,2,decaps,1721062,10758,2595,348192,346636,22380
s2,ML-KEM-512,3,keygen,1212715,7581,2070,348192,346636,22380
s2,ML-KEM-512,3,encaps,1426937,8923,2497,348192,346636,22380
s2,ML-KEM-512,3,decaps,1729520,10810,2940,348192,346636,22380
s2,ML-KEM-512,4,keygen,1207333,7547,1847,348192,346636,22380
s2,ML-KEM-512,4,encaps,1428322,8931,2462,348192,346636,22380
s2,ML-KEM-512,4,decaps,1728378,10803,3091,348192,346636,22348
s2,ML-KEM-512,5,keygen,1210796,7570,1922,348192,346636,22348
s2,ML-KEM-512,5,encaps,1427450,8925,2516,348192,346636,22348
s2,ML-KEM-512,5,decaps,1726628,10793,2629,348192,346636,22348
s2,ML-KEM-512,6,keygen,1215393,7598,2033,348192,346636,22348
s2,ML-KEM-512,6,encaps,1426990,8923,2360,348192,346636,22348
s2,ML-KEM-512,6,decaps,1720872,10757,2949,348192,346636,22348
s2,ML-KEM-512,7,keygen,1209901,7564,1857,348192,346636,22348
s2,ML-KEM-512,7,encaps,1426942,8923,2635,348192,346636,22348
s2,ML-KEM-512,7,decaps,1722814,10768,2996,348192,346636,22348
s2,ML-KEM-512,8,keygen,1211141,7572,1949,348192,346636,22348
s2,ML-KEM-512,8,encaps,1426881,8922,2336,348192,346636,22348
s2,ML-KEM-512,8,decaps,1722338,10766,2663,348192,346636,22348
s2,ML-KEM-512,9,keygen,1213633,7587,2045,348192,346636,22348
s2,ML-KEM-512,9,encaps,1426065,8917,2430,348192,346636,22348
